recno,Name,Vmag,SpType,n_Name,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],SMR,_RA,_DE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff_x,b_Teff_x,B_Teff_xa,logg_x,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
120,BD+47 1586,9.55,G2V," ",5575,60,40,4.75,0.2,0.15,-0.18,0.06,0.04," ",127.87712,47.13551,Gaia DR3 918589811219760640,127.87645387408,47.13530992252,0.0,0.0,92.0,1636148068921376768,918589811219760640,734213314,0.0143,0.0112,14.5666,0.018,807.684,111.949,-102.18,0.017,-45.736,0.015,-0.0203,-0.2041,0.034,0.2964,0.02,0.2321,-0.138,0.3742,-0.1469,-0.0635,275,275,273,2,2.5971,650.09,0.093,10.234,31,true,1.543,,,,,,,,31,18,0.024555,35,0.04488,15.32,0,0,1.113,0,289,3174691.54994,1277.17,2485.73,9.433113,0.00279,29,1663910.0,1410.87,1179.35,9.785718,0.002938,31,2168840.0,2039.06,1063.65,8.907325,0.003915,1.207,0,0,0,0,0,0.878393,0.352605,0.525788,2.58,0.23,1,12,6,8,118.62,0.68639,0.123412,786.23,2.15,5750.0,5.0,0.0,444,,,,8.714632,0.008144,6,,VARIABLE,0.0,0.0,0.99885,5614.0,5593.1,5643.0,4.5327,4.5161,4.5466,-0.1438,-0.1655,-0.1171,68.5686,68.4071,68.7724,0.1002,0.0884,0.121,0.0834,0.0735,0.1007,0.0446,0.0393,0.0539,MARCS,127.87712145522,47.13551319345,0.272488,0.237484,-0.0895,1.783256
122,BD+29 2061,9.4,G0V," ",6320,45,30,4.05,0.25,0.15,0.1,0.04,0.02," ",158.37856,28.87415,Gaia DR3 729275796069675008,158.37857569336,28.87404511641,0.0,0.0,131.0,1636148068921376768,729275796069675008,1724194015,0.0158,0.0152,6.2197,0.0201,309.0131,24.874,2.146,0.019,-24.781,0.018,-0.2972,-0.0128,0.0761,-0.1812,-0.1552,-0.2148,-0.0474,0.3427,-0.2475,-0.443,240,240,237,3,2.171,602.55,0.111,12.998,31,true,1.599,,,,,,,,27,16,0.031582,28,0.01784,20.49,0,0,1.101,0,235,3540633.106,664.769,5326.11,9.314665,0.002763,26,2058000.0,1084.99,1896.79,9.55493,0.002848,24,2151690.0,589.651,3649.1,8.915944,0.003791,1.189,0,0,0,0,0,0.638986,0.240265,0.398721,6.65,0.19,1,8,2,7,91.785,-1.1299,0.801703,893.046,1.05,6000.0,3.5,-0.25,444,,,,8.763091,0.005977,5,,NOT_AVAILABLE,0.0,0.0,0.992964,6275.6,6273.4,6279.0,4.1478,4.1453,4.1505,-0.0896,-0.099,-0.0813,159.4737,158.811,160.0494,0.0011,2.0E-4,0.0031,0.001,2.0E-4,0.0027,5.0E-4,1.0E-4,0.0015,MARCS,158.3785647997,28.8741552559,0.308713,0.285176,-0.4225,0.380808
124,HD 105898,7.5,G6III-IV,*,5250,55,60,3.0,0.2,0.0,-0.4,0.08,0.1," ",182.8133,24.75358,Gaia DR3 4003139184658921472,182.81274558167,24.75350562352,0.0,0.0,81.0,1636148068921376768,4003139184658921472,337533327,0.0295,0.0208,4.5475,0.0307,148.1442,113.124,-112.01,0.035,-15.832,0.023,0.119,-0.223,0.368,0.2116,-0.0913,0.262,0.1533,-0.0188,-0.1882,0.0442,220,220,218,2,-0.2102,761.15,0.186,26.138,95,false,,1.5242,0.0073,-0.21,-0.23,0.056,-0.032,0.189,25,16,0.050974,32,0.0308,116.5,0,0,0.988,0,278,2.341480584441E7,5405.31,4331.82,7.26364,0.002767,31,1.1285E7,6676.36,1690.3,7.707285,0.002863,29,1.73789E7,10903.6,1593.86,6.647842,0.00384,1.224,0,0,0,0,0,1.059443,0.443645,0.615798,-40.8,0.13,1,19,0,12,471.55,0.51187,0.103017,1032.404,0.87,5500.0,3.5,0.0,333,5.923,1.064,15,6.412311,0.00505,19,,NOT_AVAILABLE,0.0,0.0,0.999619,5755.4,5750.6,5784.7,2.735,2.7161,2.7565,-2.2027,-2.2503,-2.2002,218.3486,214.2072,223.2447,0.678,0.6737,0.6993,0.5624,0.5588,0.5807,0.3102,0.3082,0.3203,MARCS,182.81329377333,24.75357598864,0.554756,0.362475,0.0191,1.832187
125,HD 110882,8.87,G1V," ",5880,45,55,4.4,0.2,0.3,-0.28,0.04,0.04," ",191.27012,27.74727,Gaia DR3 3962633004492951424,191.2697545161,27.74759036864,0.0,0.0,101.0,1636148068921376768,3962633004492951424,290903447,0.015,0.0115,7.7631,0.0199,389.7432,102.639,-72.836,0.019,72.316,0.019,-0.109,-0.3406,0.4266,0.1591,0.0479,0.1008,0.1357,-0.0555,-0.3059,-0.3124,271,271,270,1,-1.9988,475.55,0.074,5.7071,31,true,1.562,,,,,,,,31,15,0.030517,43,0.02715,18.55,0,0,0.913,0,335,6007336.43738,880.669,6821.33,8.740662,0.00276,37,3264510.0,734.039,4447.33,9.053996,0.002801,39,3965500.0,1136.46,3489.34,8.252151,0.003792,1.204,0,0,0,0,0,0.801845,0.313334,0.48851,-31.18,0.17,1,13,6,10,171.42,-0.79428,0.662235,707.103,1.35,6000.0,4.5,-0.25,222,,,,8.061934,0.03397,7,,NOT_AVAILABLE,0.0,0.0,0.997667,5725.2,5722.8,5728.4,3.7729,3.7691,3.7772,-0.7882,-0.7966,-0.7701,128.0764,127.5799,128.5482,0.002,7.0E-4,0.004,0.0017,6.0E-4,0.0034,9.0E-4,3.0E-4,0.0018,PHOENIX,191.2701202931,27.74726896507,0.303203,0.301428,-0.3321,1.63893
126,HD 110884,9.11,G3V," ",5905,85,90,4.3,0.4,0.4,-0.26,0.08,0.08," ",191.29186,27.33278,Gaia DR3 3962605276184105600,191.29217134137,27.33256070805,0.0,0.0,75.0,1636148068921376768,3962605276184105600,827906775,0.0451,0.0429,7.9108,0.069,114.711,85.999,70.736,0.059,-48.911,0.071,0.0276,-0.2507,0.2483,0.2336,-0.282,0.0859,0.4169,-0.1148,-0.3463,-0.36,293,293,292,1,45.6228,7066.3,0.443,265.1,31,true,1.57,,,,,,,,33,16,0.107915,45,0.006581,38.77,0,0,3.417,0,361,4787897.91121,779.711,6140.6,8.987004,0.002761,38,2643490.0,800.341,3302.95,9.283099,0.002809,36,3092080.0,879.711,3514.88,8.522269,0.003792,1.198,0,0,0,0,0,0.76083,0.296095,0.464735,-19.2,0.23,1,17,7,12,171.1,2.8845,1.01E-4,832.104,2.31,6000.0,4.5,-0.25,222,,,,8.333811,0.017694,7,,NOT_AVAILABLE,0.0,0.0,0.992964,5863.7,5860.3,5893.4,4.1352,4.0788,4.1448,-0.0993,-0.1077,-0.0652,124.5495,122.4664,137.9122,0.0024,4.0E-4,0.023,0.002,3.0E-4,0.0194,0.0011,1.0E-4,0.0104,MARCS,191.29181745046,27.33277809134,0.928998,1.111668,-0.3844,1.270685
127,HD 111540,9.54,G1V," ",5840,50,45,4.2,0.3,0.2,0.14,0.06,0.04," ",192.43194,29.15606,Gaia DR3 1464869312938399104,192.43178192936,29.15558323424,0.0,0.0,82.0,1636148068921376768,1464869312938399104,345891968,0.108,0.0722,9.5483,0.1167,81.7885,108.005,-32.237,0.117,-103.082,0.11,0.1219,-0.3007,0.5245,0.2174,-0.0946,0.1964,0.2468,-0.1322,-0.1213,-0.0946,307,307,306,1,95.1351,27596.0,0.913,1044.5,31,false,1.562,,,,,,,,35,16,0.176693,44,0.05223,107.5,0,0,6.786,0,345,3356859.07032,448.537,7484.02,9.372534,0.002759,38,1825850.0,602.502,3030.44,9.684882,0.002813,35,2203340.0,655.853,3359.51,8.89019,0.003793,1.2,0,0,0,0,0,0.794692,0.312348,0.482344,-24.89,2.76,1,15,5,8,139.12,51.845,0.0,856.098,21.9,5750.0,4.5,0.0,222,,,,8.701989,0.005389,8,,NOT_AVAILABLE,0.0,0.0,0.999146,5842.4,5838.2,5845.8,4.1808,4.1693,4.1916,-0.3497,-0.3539,-0.3456,108.7931,107.4128,110.23,0.016,0.0133,0.0182,0.0134,0.0112,0.0153,0.0072,0.006,0.0082,PHOENIX,192.43194599275,29.15604137283,1.82078,1.749916,-0.1194,1.786853
128,HD 123758,9.14,G0V," ",6105,40,70,4.5,0.2,0.35,0.04,0.04,0.08," ",212.20545,32.9494,Gaia DR3 1478734360725538944,212.20517759896,32.94957782255,0.0,0.0,10.0,1636148068921376768,1478734360725538944,501788441,0.0079,0.0099,7.1197,0.0136,521.6422,66.286,-51.99,0.008,41.12,0.013,0.0879,-0.1791,0.6898,0.1137,-0.194,0.1562,-0.1694,-0.2591,0.1081,0.0264,800,800,788,12,-0.5807,1606.4,0.086,14.08,31,true,1.576,,,,,,,,91,23,0.01866,95,0.01093,67.22,0,0,0.985,1,779,4654356.63262,446.282,10429.2,9.017717,0.002757,91,2600630.0,450.19,5776.75,9.300844,0.002796,88,2966420.0,481.022,6166.91,8.567314,0.003783,1.196,0,2,0,0,0,0.73353,0.283127,0.450403,-31.04,0.14,1,31,9,17,218.52,-0.91895,0.551516,899.502,1.68,6000.0,4.0,0.0,444,,,,8.394166,0.0049,18,,NOT_AVAILABLE,0.0,0.0,1.0E-6,5958.0,5946.1,5991.6,4.1013,4.0929,4.1202,-0.0406,-0.0569,0.0085,137.9535,133.5493,139.4945,0.0083,9.0E-4,0.0278,0.007,8.0E-4,0.0236,0.0038,4.0E-4,0.0127,MARCS,212.20545295459,32.94939506839,0.121411,0.215921,0.0128,1.042585
129,HD 124019,8.56,G2V," ",5685,50,65,4.65,0.25,0.25,-0.18,0.06,0.06," ",212.61223,27.63261,Gaia DR3 1260316891261098752,212.61234188544,27.63242954545,0.0,0.0,158.0,1636148068921376768,1260316891261098752,1175005527,0.011,0.0129,20.6025,0.0209,984.3566,46.398,22.611,0.02,-40.515,0.017,-0.1517,0.1517,-0.1009,-0.0595,-0.1343,-0.0017,-0.0179,-0.2742,-0.1465,0.2097,473,473,470,3,-0.519,974.0,0.109,10.828,31,true,1.555,,,,,,,,54,21,0.02946,61,0.02176,45.57,0,0,0.982,0,469,8309459.7211,1409.92,5893.58,8.388435,0.002761,54,4455990.0,1669.83,2668.53,8.716181,0.00282,53,5544760.0,1848.89,2998.97,7.888188,0.003797,1.204,0,0,0,0,0,0.827993,0.327745,0.500247,-19.69,0.13,1,23,4,15,271.1,-0.51957,0.433491,902.334,1.17,5750.0,4.5,0.0,222,6.3337,1.8324,15,7.702073,0.005041,17,,NOT_AVAILABLE,0.0,0.0,0.992964,5623.6,5621.7,5628.9,4.4148,4.4133,4.418,-0.2335,-0.2461,-0.2134,48.2747,48.17,48.462,3.0E-4,0.0,0.0011,3.0E-4,0.0,9.0E-4,1.0E-4,0.0,5.0E-4,MARCS,212.61222845623,27.63260961247,0.322173,0.279002,0.2104,0.741193
131,HD 127913,9.14,G2V," ",5475,70,60,4.45,0.2,0.2,-0.12,0.08,0.08," ",218.46454,2.57562,Gaia DR3 3656061228201689728,218.46405080419,2.57560033133,0.0,0.0,114.0,1636148068921376768,3656061228201689728,671118947,0.1829,0.1665,16.5882,0.2182,76.0073,110.407,-110.345,0.255,-3.718,0.205,-0.1052,-0.0064,-0.0552,-0.0672,-0.2959,-0.0169,-0.1065,-0.1632,0.3094,0.0154,188,188,188,0,123.2121,56405.0,1.625,2936.6,31,false,1.54,,,,,,,,21,14,0.354248,23,0.01839,100.7,1,0,12.175,0,202,5011510.67148,2813.26,1781.39,8.937446,0.002822,23,2613360.0,4587.84,569.628,9.295544,0.003379,23,3437730.0,4741.37,725.05,8.407216,0.004065,1.207,0,1,0,0,0,0.888328,0.358098,0.53023,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999324,5474.5,5455.7,5625.5,4.3914,4.265,4.4327,-0.0252,-0.0831,0.1633,67.205,61.8047,88.4604,0.0124,6.0E-4,0.1079,0.0103,5.0E-4,0.0896,0.0055,2.0E-4,0.0476,MARCS,218.46454172039,2.57561685379,4.100632,3.30861,0.0189,1.76075
133,HD 133623,10.11,G2V," ",5880,65,65,4.3,0.3,0.35,-0.08,0.06,0.06," ",226.26327,15.05652,Gaia DR3 1183824004755676416,226.26279638492,15.05651039757,0.0,0.0,59.0,1636148068921376768,1183824004755676416,496575919,0.0134,0.0124,4.9522,0.0156,317.6596,101.799,-101.756,0.016,-2.947,0.014,0.1513,-0.2483,-0.0196,-0.0308,-0.3828,0.0298,-0.0467,-0.1322,0.03,0.1039,228,228,227,1,-1.2665,429.16,0.085,9.1,31,true,1.556,,,,,,,,26,15,0.022349,28,0.0228,67.92,0,0,0.939,0,217,1897088.7917,392.142,4837.76,9.992147,0.002764,24,1019850.0,653.068,1561.64,10.317197,0.002875,23,1259440.0,284.506,4426.76,9.497453,0.003787,1.201,0,0,0,0,0,0.819744,0.325049,0.494695,-39.79,0.23,1,10,2,8,79.977,-0.75954,0.649967,709.492,1.68,5500.0,3.5,-0.25,444,,,,9.312615,0.012011,4,,NOT_AVAILABLE,0.0,0.0,0.999389,5631.5,5628.6,5637.1,4.075,4.0731,4.0771,-0.4184,-0.4261,-0.4093,200.7452,200.1138,201.3954,0.0024,6.0E-4,0.0061,0.002,5.0E-4,0.0051,0.0011,3.0E-4,0.0028,MARCS,226.26326471,15.05652349606,0.253696,0.230657,0.1037,1.646844
