recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs
876," ","PN G112.5-00.1 ",KjPn8,2015433160502141312,B,351.0453,60.9608,8.77,19.09,1.71,1.87,0.87,351.0453,60.9608
877," ","PN G112.9-10.2 ",Abell84,1944244047502655232,A,356.9336,51.3992,2.43,18.49,-0.3,0.25,-0.44,356.9336,51.3992
878," ","PN G113.3+06.4 ",Kn32,2212362019520749312,A,347.4317,67.394,0.86,20.29,0.93,3.36,-0.79,347.4317,67.394
879,*,"PN G114.0-04.6 ",Abell82,1998212476247082880,B,356.4489,57.0662,0.93,14.42,1.55,0.75,1.22,356.4489,57.0662
880," ","PN G114.4+00.0 ",IPHASXJ233841.2+614146,2012536875076571776,B,354.6716,61.6961,0.34,19.98,1.77,2.58,0.58,354.6716,61.6961
881,*,"PN G114.7-01.2 ",IPHASXJ234403.8+603242,2011797217286839168,B,356.0166,60.5449,1.6,15.45,1.87,1.84,1.06,356.0166,60.5449
882," ","PN G116.0-04.8 ",IPHASXJ000021.4+572207,422587471554771968,B,0.0891,57.3688,0.03,16.66,1.11,1.06,0.61,0.0891,57.3688
883," ","PN G116.2+08.5 ",M2-55,2215132685747021056,B,352.9645,70.3704,0.95,19.74,0.74,1.36,0.04,352.9645,70.3704
884," ","PN G117.5+18.9 ",IC1454,2286089355109979008,A,340.6025,80.442,0.62,18.82,-0.51,0.23,-0.64,340.6025,80.442
885,*,"PN G118.0-08.6 ",PNVV2,419326659360627968,A,4.6757,53.8722,0.25,14.14,-0.14,0.62,-0.49,4.6757,53.8722
886," ","PN G118.7+08.2 ",Abell86,530858099521703808,B,0.3792,70.7094,3.89,20.63,1.37,1.24,0.79,0.3792,70.7094
887," ","PN G118.8-74.7 ",NGC246,2376592910265354368,A,11.7638,-11.872,0.12,11.8,-0.57,0.14,-0.65,11.7638,-11.872
888," ","PN G119.1+12.4 ",Kn50,2229266628545001984,A,358.5473,74.9261,0.07,19.27,-0.15,0.53,-0.44,358.5473,74.9261
889," ","PN G119.6-06.1 ",Hu1-1,421287436486020608,B,7.0649,55.9652,0.26,19.27,0.1,0.38,-0.1,7.0649,55.9652
890,*,"PN G120.0+09.8 ",NGC40,537481007814722688,B,3.2541,72.5219,0.06,11.46,0.34,0.78,-0.08,3.2541,72.5219
891," ","PN G120.2-05.3 ",Sh2-176,421836402032359936,B,7.9501,57.3839,5.46,17.47,1.25,0.81,0.88,7.9501,57.3839
892," ","PN G120.4-01.3 ",Ou2,430204780732841600,B,7.7364,61.4095,0.09,19.27,0.36,0.94,-0.15,7.7364,61.4095
893," ","PN G121.6+00.0 ",BV5-2,427802970592981504,B,10.0879,62.8587,2.7,19.43,1.19,1.49,0.46,10.0879,62.8587
894," ","PN G121.7+11.4 ",Hu2,538591274040363520,A,8.4896,74.3109,0.8,20.19,0.03,0.71,-0.37,8.4896,74.3109
895," ","PN G122.1-04.9 ",Abell2,425100439735384192,A,11.3948,57.9598,0.76,19.91,0.22,0.91,-0.28,11.3948,57.9598
896,*,"PN G123.0+04.6 ",Pa30,526287189172936320,B,13.2967,67.5007,0.04,15.41,0.91,1.83,-0.03,13.2967,67.5007
897," ","PN G123.6+09.9 ",Pa154,535212951548319616,B,15.3545,72.7648,1.01,20.88,0.63,1.46,-0.14,15.3545,72.7648
898,*,"PN G123.6+34.5 ",IC3568,1720138697015345024,A,188.2786,82.5639,0.1,12.87,-0.29,0.32,-0.47,188.2786,82.5639
899," ","PN G124.0+02.9 ",KLSS2-7,525857348844254208,A,15.6019,65.7757,0.37,21.16,1.68,5.64,-0.99,15.6019,65.7757
900,*,"PN G124.3-07.7 ",WeSb1,423384961080344960,B,15.2254,55.0667,0.05,14.77,1.17,0.62,0.88,15.2254,55.0667
901," ","PN G125.4+-8.9 ",Dr36,411078093067339136,A,16.9169,53.8733,0.13,18.81,0.12,0.74,-0.29,16.9169,53.8733
902," ","PN G126.3+02.9 ",K3-90,525275913347840512,B,21.2442,65.6434,0.08,18.81,0.78,1.56,-0.03,21.2442,65.6434
903," ","PN G126.6+01.3 ",IPHASXJ012507.9+635652,512781539949346816,B,21.2831,63.948,0.06,18.88,1.61,1.86,0.76,21.2831,63.948
904," ","PN G127.6-01.1 ",IPHASXJ013108.9+612258,510742396851462400,B,22.7875,61.383,0.26,20.48,0.68,1.38,-0.05,22.7875,61.383
905,*,"PN G127.6-13.5 ",PaStDr3,400211958948711552,A,19.8703,49.0193,0.02,13.35,-0.3,0.3,-0.47,19.8703,49.0193
906," ","PN G128.0-04.1 ",Sh2-188,509206722715256192,B,22.5815,58.4412,3.61,19.65,1.23,0.9,0.81,22.5815,58.4412
