recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs
1," ","PN G000.0-01.0 ",JaSt69,4057224264723323264,B,267.5416,-29.3183,0.4,19.65,3.17,3.22,1.86,267.5416,-29.3183
2," ","PN G000.0-02.5 ",K6-36,4056266379788466304,B,268.9702,-30.2613,0.83,19.45,1.91,2.62,0.72,268.9702,-30.2613
3," ","PN G000.0-02.9 ",MPAJ1757-3021,4056203849243193728,B,269.3093,-30.3645,2.52,18.42,1.85,3.57,0.11,269.3093,-30.3645
4," ","PN G000.0-06.8 ",H1-62,4045771305065496832,B,273.3248,-32.3286,0.19,14.36,0.77,0.95,0.28,273.3248,-32.3286
5," ","PN G000.1+02.6 ",Al2-J,4061303281130808448,B,263.8977,-27.4015,0.58,17.94,2.41,3.31,0.99,263.8977,-27.4015
6," ","PN G000.1+04.3 ",H1-16,4109679250049965312,A,262.3473,-26.4346,0.22,18.75,1.29,3.63,-0.57,262.3473,-26.4346
7," ","PN G000.1+17.2 ",PC12,4130784921205604736,B,250.9741,-18.9533,0.08,15.17,0.62,1.13,0.03,250.9741,-18.9533
8," ","PN G000.1-01.9 ",JaSt93,4056400558791818624,B,268.3492,-29.83,0.8,17.64,2.33,2.32,1.37,268.3492,-29.83
9," ","PN G000.1-05.6 ",H2-40,4049045783774253696,B,272.1281,-31.6098,0.58,18.46,1.44,1.38,0.81,272.1281,-31.6098
10," ","PN G000.1-08.0 ",SB1,4045583322840954496,A,274.7019,-32.7986,0.48,20.01,-0.17,0.45,-0.42,274.7019,-32.7986
11," ","PN G000.2-01.9 ",M2-19,4056495151130724224,B,268.4402,-29.7297,0.72,16.88,1.34,2.53,0.07,268.4402,-29.7297
12," ",PN G000.2-01.9a,JaSt2-14,4056495971440817408,B,268.4195,-29.7107,2.07,16.67,1.47,2.58,0.2,268.4195,-29.7107
13," ","PN G000.3+03.2 ",PHRJ1733-2655,4061390245613519232,A,263.4691,-26.9242,0.46,20.36,1.23,3.15,-0.39,263.4691,-26.9242
14," ","PN G000.3+04.5 ",PHRJ1729-2614,4109701927482024320,B,262.2806,-26.2455,1.31,20.69,2.13,3.44,0.56,262.2806,-26.2455
15," ","PN G000.3+07.3 ",PHRJ1718-2441,4110995812169990400,B,259.6779,-24.6898,2.18,20.47,1.02,1.79,0.1,259.6779,-24.6898
16,*,"PN G000.3+12.2 ",IC4634,4126115570219432448,A,255.3899,-21.8259,0.28,13.85,-0.15,0.71,-0.55,255.3899,-21.8259
17,*,"PN G000.3-04.2 ",MPAJ1803-3043,4049954873646647040,B,270.8405,-30.7265,0.33,15.38,2.65,1.83,1.89,270.8405,-30.7265
18," ","PN G000.3-04.6 ",M2-28,4049886772877581696,B,271.2611,-30.9713,0.77,19.63,1.06,1.88,0.11,271.2611,-30.9713
19," ","PN G000.4+04.4 ",K5-1,4109691718340733568,B,262.4682,-26.1871,0.81,19.18,1.76,3.75,-0.1,262.4682,-26.1871
20," ","PN G000.4-02.9 ",M3-19,4056250956464755712,A,269.5808,-30.0109,0.68,18.34,0.82,2.7,-0.6,269.5808,-30.0109
21," ",PN G000.5-03.1a,MPAJ1759-3007,4056239308511338240,B,269.8549,-30.1217,0.23,19.08,1.81,2.35,0.74,269.8549,-30.1217
22," ","PN G000.6-01.0 ",JaSt77,4057342599736948992,B,267.798,-28.9406,0.08,16.1,1.81,1.11,1.33,267.798,-28.9406
23," ","PN G000.6-01.3 ",Bl3-15,4056579538679085952,B,268.1502,-29.111,0.16,19.24,2.03,4.21,-0.03,268.1502,-29.111
24," ","PN G000.7+08.0 ",MPAJ1717-2356,4114088875802922880,A,259.2877,-23.9416,0.37,18.93,0.74,1.98,-0.31,259.2877,-23.9416
25," ","PN G000.7-03.7 ",M3-22,4050168629923554944,A,270.5802,-30.2405,0.51,18.35,0.51,1.61,-0.35,270.5802,-30.2405
26," ","PN G000.7-06.1 ",SB3,4048968994096810880,A,273.0606,-31.3335,0.06,19.03,0.32,1.06,-0.25,273.0606,-31.3335
27," ","PN G000.8+05.2 ",PBOZ5,4109999173694500992,B,261.9106,-25.3741,0.65,19.68,1.06,1.17,0.49,261.9106,-25.3741
28," ","PN G000.8-07.6 ",H2-46,4045845625148544640,B,274.6561,-31.9126,0.17,18.87,0.37,0.61,0.05,274.6561,-31.9126
29," ","PN G000.9+01.3 ",MGE000.9363+01.3962,4060883679948752384,B,265.612,-27.4072,0.23,19.17,3.67,5.08,1.67,265.612,-27.4072
30," ","PN G000.9-02.0 ",Bl3-13,4056540677880158208,B,269.0116,-29.188,0.46,18.05,1.15,2.51,-0.14,269.0116,-29.188
31," ","PN G000.9-03.3 ",PHRJ1801-2947,4050246420409992704,B,270.3061,-29.7837,1.56,19.02,1.34,2.0,0.36,270.3061,-29.7837
32," ","PN G000.9-04.2 ",PHRJ1804-3016,4049992845542438912,B,271.2006,-30.2804,0.84,19.39,1.32,1.76,0.47,271.2006,-30.2804
33," ","PN G000.9-04.8 ",M3-23,4049925328633027712,A,271.7756,-30.5714,0.1,19.22,0.65,1.77,-0.29,271.7756,-30.5714
34,*,"PN G001.0+01.4 ",JaSt2-4,4060890513224820352,B,265.6169,-27.2255,0.5,15.99,1.78,1.66,1.05,265.6169,-27.2255
35," ","PN G001.0+01.9 ",K1-4,4060952605654047232,A,265.1142,-27.0173,0.21,20.2,0.94,4.63,-1.22,265.1142,-27.0173
36," ","PN G001.0-01.9 ",K6-35,4056546037855269120,B,268.9297,-29.0677,0.99,16.97,1.67,3.06,0.18,268.9297,-29.0677
37," ","PN G001.0-02.0 ",MGE001.0098-02.0666,4056542116661761408,B,269.0264,-29.1259,0.67,19.41,2.15,2.64,1.0,269.0264,-29.1259
38," ","PN G001.1+02.2 ",MPAJ1739-2648,4060976176417193856,B,264.9571,-26.8126,0.49,19.59,2.52,4.62,0.4,264.9571,-26.8126
39," ","PN G001.1-02.6 ",MPA1758-2915,4062332454138572416,B,269.7151,-29.2663,0.66,18.64,1.91,1.92,1.07,269.7151,-29.2663
40," ","PN G001.1-06.4 ",SB4,4048986173916372608,B,273.5589,-31.1861,0.85,18.76,1.43,0.65,1.14,273.5589,-31.1861
41," ","PN G001.2+01.3 ",JaSt45,4060981021062265728,B,265.847,-27.1868,1.39,19.46,3.65,4.74,1.76,265.847,-27.1868
42," ","PN G001.2+02.1 ",Hen2-262,4060978306741619968,B,265.0535,-26.7394,0.45,18.69,1.72,3.68,-0.12,265.0535,-26.7394
43," ","PN G001.2+02.8 ",PPAJ1737-2621,4061796583872776576,B,264.3763,-26.3621,0.46,16.94,1.87,3.47,0.19,264.3763,-26.3621
44," ",PN G001.2-01.2a,JaSt95,4057385514989465216,B,268.397,-28.4808,0.11,18.16,2.78,1.06,2.31,268.397,-28.4808
45," ","PN G001.2-01.4 ",JaSt2-15,4063373176122812416,B,268.5985,-28.5804,1.8,18.26,2.54,4.78,0.34,268.5985,-28.5804
46," ","PN G001.2-02.6 ",PHRJ1759-2915,4062333794139284096,B,269.7617,-29.2506,1.3,16.71,1.9,1.94,1.06,269.7617,-29.2506
47," ","PN G001.2-05.6 ",PHRJ1811-3042,4049240298544263936,B,272.7613,-30.7033,0.1,18.61,0.35,1.0,-0.19,272.7613,-30.7033
48," ","PN G001.3-01.0 ",JaSt89,4063395960932807680,B,268.2778,-28.3031,0.91,17.53,1.65,4.46,-0.59,268.2778,-28.3031
49," ","PN G001.3-05.6 ",SB5,4049264242907686016,A,272.8142,-30.6306,0.1,15.5,0.24,1.02,-0.32,272.8142,-30.6306
50," ","PN G001.4+00.5 ",[GKF2010]MN66,4060739369060593152,B,266.7717,-27.4261,0.47,17.86,2.43,2.46,1.41,266.7717,-27.4261
51," ","PN G001.4-00.7 ",JaSt82,4057456261747292672,B,268.022,-28.0965,1.24,20.63,0.41,25.34,-2.21,268.022,-28.0965
52," ","PN G001.5+00.9 ",[GKF2010]MN65,4060808874483585536,B,266.4199,-27.1542,0.97,17.3,2.21,2.31,1.23,266.4199,-27.1542
53," ","PN G001.5+01.5 ",JaSt46,4061009264777169920,B,265.8765,-26.7924,0.57,19.97,2.17,5.47,-0.51,265.8765,-26.7924
54," ","PN G001.5+03.1 ",PHRJ1737-2559,4062011744524241536,B,264.3188,-25.9941,0.74,18.58,2.67,4.52,0.68,264.3188,-25.9941
55," ","PN G001.5+05.3 ",KnJ1729.1-2443,4110412899193532032,B,262.2857,-24.7194,1.27,20.23,1.4,2.85,-0.04,262.2857,-24.7194
56," ","PN G001.5-01.0 ",JaSt2-12,4063398469194112128,A,268.3648,-28.1969,0.69,19.2,1.65,4.62,-0.66,268.3648,-28.1969
57," ","PN G001.5-01.6 ",JaSt2-17,4062630563426969856,B,268.9029,-28.4244,0.61,19.91,2.2,3.29,0.74,268.9029,-28.4244
58," ","PN G001.5-06.7 ",SwSt1,4049331244394134912,B,274.0511,-30.8689,0.24,11.84,0.85,0.39,0.66,274.0511,-30.8689
59," ","PN G001.6+01.5 ",K6-10,4061013383646090624,B,265.8206,-26.7382,0.14,19.32,2.21,4.81,-0.13,265.8206,-26.7382
60," ","PN G001.7+01.3 ",JaSt52,4061018988593063040,B,266.1551,-26.7904,0.32,18.13,2.57,4.97,0.26,266.1551,-26.7904
61," ","PN G001.7+05.7 ",H1-14,4110479900747426944,A,262.0073,-24.4232,0.31,19.64,0.82,2.76,-0.62,262.0073,-24.4232
62," ","PN G001.7-04.4 ",H1-55,4050131349653595392,B,271.8107,-29.6902,0.24,16.6,1.13,1.23,0.53,271.8107,-29.6902
63," ","PN G001.7-04.6 ",H1-56,4050126711087206016,A,271.9745,-29.7429,0.12,15.98,0.38,1.27,-0.31,271.9745,-29.7429
64," ","PN G001.8-00.4 ",MB4515,4063669086488636928,B,267.9773,-27.6029,0.04,19.97,2.06,2.58,0.93,267.9773,-27.6029
65," ","PN G001.8-03.7 ",PHRJ1804-2913,4050381621840757760,B,271.1188,-29.2326,0.17,16.18,1.36,1.56,0.62,271.1188,-29.2326
66," ","PN G001.9+02.3 ",K5-10,4061866089277230848,A,265.3522,-26.0648,0.6,20.41,1.4,4.19,-0.71,265.3522,-26.0648
67," ","PN G001.9+08.2 ",PM1-139,4114675327843171456,B,259.8593,-22.8032,1.2,19.69,0.67,1.75,-0.25,259.8593,-22.8032
68," ","PN G002.0+06.6 ",PHRJ1725-2338,4111350267272130560,B,261.4241,-23.642,0.86,19.02,1.24,2.48,-0.03,261.4241,-23.642
69,*,"PN G002.0-06.2 ",M2-33,4049596604655713664,B,273.7773,-30.2593,0.54,14.73,0.14,0.57,-0.18,273.7773,-30.2593
70," ","PN G002.0-13.4 ",IC4776,6735622632789070976,A,281.4613,-33.3428,0.48,13.02,-0.19,0.26,-0.33,281.4613,-33.3428
71," ","PN G002.1+03.3 ",PBOZ24,4062163301005727616,B,264.4631,-25.346,1.04,19.79,2.59,5.06,0.24,264.4631,-25.346
72," ","PN G002.1-00.9 ",K5-35,4063498834054665600,B,268.5785,-27.6099,0.68,15.86,1.42,5.75,-1.19,268.5785,-27.6099
73," ","PN G002.1-02.2 ",M3-20,4062693716586525952,A,269.8305,-28.2301,0.28,17.72,0.57,2.94,-0.94,269.8305,-28.2301
74," ","PN G002.1-02.8 ",PHRJ1801-2831,4062485393576880256,B,270.3846,-28.5289,0.98,18.22,1.86,1.77,1.09,270.3846,-28.5289
75," ","PN G002.1-08.3 ",PPAJ1824-3107,4046186679873669504,A,276.0906,-31.1194,0.11,17.87,0.06,0.48,-0.2,276.0906,-31.1194
76," ","PN G002.2-00.9 ",MGE002.2728-00.9131,4063508282975176576,A,268.6168,-27.4549,3.39,21.03,1.44,16.69,-1.94,268.6168,-27.4549
77," ","PN G002.2-01.2 ",PPAJ1755-2739,4063442896370193152,B,268.9402,-27.6617,1.5,21.05,3.36,9.71,-0.89,268.9402,-27.6617
78," ","PN G002.2-02.7 ",M2-23,4062488485983362944,B,270.4277,-28.4289,0.45,14.2,0.36,2.0,-0.71,270.4277,-28.4289
79," ","PN G002.2-06.3 ",H1-63,4049624646596477312,B,274.0806,-30.1267,0.13,13.43,0.57,0.81,0.15,274.0806,-30.1267
80," ","PN G002.2-09.4 ",Cn1-5,4046842607233523840,B,277.2985,-31.4998,0.07,15.2,0.36,0.53,0.08,277.2985,-31.4998
81," ","PN G002.3+03.6 ",PPAJ1737-2501,4062219616618683776,B,264.3499,-25.0256,0.32,19.9,1.41,1.66,0.64,264.3499,-25.0256
82," ","PN G002.3+06.2 ",PPAJ1727-2338,4111387680667596288,A,261.9238,-23.6481,0.45,19.66,0.94,2.78,-0.51,261.9238,-23.6481
83," ","PN G002.3+06.5 ",PPAJ1726-2325,4111359784894205312,B,261.6408,-23.4199,0.41,19.36,1.65,2.16,0.65,261.6408,-23.4199
84," ",PN G002.3+06.5a,PHRJ1726-2326,4111359406964059392,A,261.6518,-23.444,0.8,20.6,1.08,2.57,-0.25,261.6518,-23.444
85," ","PN G002.3-05.9 ",PPAJ1814-2951,4049688658764663552,A,273.6113,-29.863,0.47,17.95,0.2,0.76,-0.22,273.6113,-29.863
86," ","PN G002.3-07.8 ",M2-41,4046378407157239040,B,275.6437,-30.7248,0.96,18.81,0.63,0.62,0.31,275.6437,-30.7248
87,*,"PN G002.4+05.8 ",NGC6369,4111368477921050368,B,262.3352,-23.7597,0.58,15.48,1.6,2.28,0.52,262.3352,-23.7597
88," ","PN G002.4+07.0 ",PHRJ1724-2302,4111575014353546240,B,261.2218,-23.043,0.71,16.22,2.02,3.27,0.51,261.2218,-23.043
89,*,"PN G002.4-03.4 ",PHRJ1804-2833,4062438694311477632,A,271.2308,-28.5525,1.03,13.91,0.45,1.29,-0.25,271.2308,-28.5525
90,*,"PN G002.4-03.7 ",M1-38,4050798924999155456,B,271.5239,-28.675,0.15,14.09,0.93,1.79,0.01,271.5239,-28.675
91," ","PN G002.4-05.0 ",K6-41,4050459652633253376,B,272.8023,-29.3668,0.64,18.48,1.23,1.22,0.65,272.8023,-29.3668
92," ","PN G002.4-06.4 ",PaJ1817.1-2959,4049533455833411328,B,274.2897,-29.9844,2.4,18.94,0.94,0.87,0.51,274.2897,-29.9844
93," ","PN G002.5+01.9 ",PHRJ1744-2545,4067134609739799680,A,266.0015,-25.7602,1.13,19.52,1.77,4.0,-0.23,266.0015,-25.7602
94," ","PN G002.5+04.9 ",PHRJ1732-2408,4110559855799571200,B,263.2425,-24.1459,0.11,19.71,2.16,2.69,1.0,263.2425,-24.1459
95," ","PN G002.6+02.3 ",PHRJ1742-2525,4067908184848743936,B,265.7172,-25.4286,0.47,19.83,2.04,3.47,0.41,265.7172,-25.4286
96," ","PN G002.6+04.8 ",PHRJ1733-2407,4110558859449807488,B,263.4074,-24.1295,0.17,15.97,1.49,2.81,0.1,263.4074,-24.1295
97," ","PN G002.6+05.5 ",K5-3,4110623760607130624,A,262.6719,-23.7501,0.8,19.23,1.1,2.55,-0.22,262.6719,-23.7501
98," ","PN G002.6+08.1 ",H1-11,4114722469423030272,A,260.3238,-22.3099,0.48,16.81,0.67,2.12,-0.46,260.3238,-22.3099
99," ",PN G002.6-02.8a,MPAJ1802-2807,4062523120590486144,B,270.7228,-28.1322,0.6,16.76,2.18,1.73,1.46,270.7228,-28.1322
100," ","PN G002.7-04.8 ",M1-42,4050550916418916864,B,272.7708,-28.9831,0.55,18.32,0.59,1.13,0.0,272.7708,-28.9831
101," ","PN G002.7-11.3 ",CGMW4-2085,6736781926089349760,A,279.5323,-31.8825,0.45,19.81,-0.54,0.33,-0.72,279.5323,-31.8825
102,*,"PN G002.7-52.4 ",IC5148/50,6574225217863069056,A,329.8962,-39.3857,1.34,16.07,-0.59,0.05,-0.61,329.8962,-39.3857
103," ","PN G002.8-00.2 ",LDu36,4063891909388675200,B,268.2739,-26.5677,6.69,20.99,1.43,70.55,-3.74,268.2739,-26.5677
104," ","PN G002.8-10.7 ",PHRJ1835-3135,4046697815310010752,B,278.8903,-31.5958,0.85,19.36,0.02,0.34,-0.17,278.8903,-31.5958
105,*,"PN G002.9+06.5 ",PM1-149,4111493787901120768,B,261.9737,-22.9552,0.28,15.59,1.19,2.3,0.02,261.9737,-22.9552
106," ","PN G002.9-03.9 ",H2-39,4050818097742912640,A,272.024,-28.4363,0.1,17.81,0.76,1.91,-0.25,272.024,-28.4363
107," ","PN G002.9-10.2 ",PHRJ1833-3115,4046908436166480768,B,278.4282,-31.2619,0.28,17.6,1.16,0.46,0.94,278.4282,-31.2619
108," ","PN G003.0+01.6 ",MGE003.0836+01.6435,4067166834825756288,B,266.6295,-25.448,1.12,19.01,2.58,3.89,0.91,266.6295,-25.448
109," ","PN G003.0-01.7 ",PHRJ1759-2712,4063564770382530688,B,269.8882,-27.2141,0.96,18.54,2.36,2.67,1.24,269.8882,-27.2141
110," ","PN G003.1+02.9 ",Hb4,4068200586367730944,A,265.47,-24.7023,0.06,17.52,1.1,2.81,-0.35,265.47,-24.7023
111," ","PN G003.1+03.4 ",H2-17,4068268859125380224,B,265.0309,-24.4285,0.03,16.53,1.47,2.53,0.23,265.0309,-24.4285
112," ","PN G003.1+03.7 ",PHRJ1738-2419,4068263155407067904,B,264.7154,-24.3289,0.06,16.64,2.54,2.48,1.52,264.7154,-24.3289
113," ","PN G003.1+04.1 ",K5-7,4116324247383734656,A,264.334,-24.0582,0.18,20.82,0.86,2.72,-0.57,264.334,-24.0582
114," ","PN G003.1-01.6 ",PHRJ1759-2706,4063941524916168064,A,269.8591,-27.1098,1.79,20.06,2.31,7.0,-0.92,269.8591,-27.1098
115," ","PN G003.1-02.1 ",PHRJ1801-2718,4063170320596559488,B,270.3536,-27.3031,0.16,19.35,2.45,2.81,1.28,270.3536,-27.3031
116," ","PN G003.2+01.8 ",MGE003.2610+01.8522,4068018067278924032,B,266.5339,-25.1883,0.98,19.51,3.09,4.3,1.35,266.5339,-25.1883
117," ","PN G003.2-04.4 ",KFL12,4050866781253323264,A,272.6284,-28.3231,0.14,17.59,0.65,2.14,-0.49,272.6284,-28.3231
118," ","PN G003.2-06.2 ",M2-36,4049788611227556864,B,274.4227,-29.1389,0.41,17.04,0.25,0.76,-0.16,274.4227,-29.1389
119,*,"PN G003.3+66.1 ",SkAc1,1227151802340968832,A,214.0914,13.8734,0.17,18.5,-0.31,0.0,-0.31,214.0914,13.8734
120,*,"PN G003.3-04.6 ",Ap1-12,4050854450293755136,B,272.8962,-28.3769,0.32,13.34,0.56,1.03,0.02,272.8962,-28.3769
121," ","PN G003.3-07.5 ",KFL19,4050998383326315264,B,275.7872,-29.7239,0.78,17.7,-0.04,0.87,-0.52,275.7872,-29.7239
122,*,"PN G003.4+01.4 ",PHRJ1748-2515,4067255586030985856,B,267.0648,-25.254,0.84,16.79,2.32,3.33,0.86,267.0648,-25.254
123," ","PN G003.5+02.7 ",PTB1,4068113170792152448,B,265.9134,-24.5317,0.16,19.57,1.39,2.85,-0.05,265.9134,-24.5317
124," ","PN G003.5-01.2 ",PPAJ1758-2628,4064034330564300928,A,269.654,-26.4798,0.37,19.78,2.81,13.42,-1.55,269.654,-26.4798
125," ","PN G003.5-02.4 ",IC4673,4063199904342190208,A,270.8269,-27.1063,0.72,18.02,0.62,3.36,-1.06,270.8269,-27.1063
126," ","PN G003.5-02.9 ",MPAJ1805-2721,4063136059789043968,B,271.3046,-27.3524,0.5,16.56,2.09,1.77,1.34,271.3046,-27.3524
127," ","PN G003.7-01.1 ",MGE003.7724-01.1833,4064063738136080384,B,269.7229,-26.293,1.39,17.41,1.76,3.36,0.12,269.7229,-26.293
128," ","PN G003.7-04.6 ",M2-30,4050902790361481856,A,273.1433,-27.9696,0.06,16.87,0.0,1.23,-0.68,273.1433,-27.9696
129," ","PN G003.8+00.5 ",Kn118,4067402031554765440,B,268.1034,-25.3775,1.14,20.83,2.66,17.86,-1.78,268.1034,-25.3775
130," ","PN G003.8-03.2 ",PHRJ1807-2715,4063035664833519616,B,271.8126,-27.2639,1.22,18.47,1.07,1.59,0.28,271.8126,-27.2639
131," ","PN G003.8-17.1 ",Hb8,6756677421471688064,B,286.3997,-33.1939,0.38,14.93,-0.52,0.24,-0.66,286.3997,-33.1939
132," ","PN G003.9+02.6 ",K5-14,4068334275660862976,B,266.1358,-24.2243,0.32,17.99,1.06,2.29,-0.13,266.1358,-24.2243
133," ","PN G003.9-02.3 ",M1-35,4063320541318246656,A,270.9137,-26.7261,0.32,18.55,1.3,5.46,-1.2,270.9137,-26.7261
134," ","PN G004.0-02.5 ",PHRJ1804-2643,4063311637847832576,B,271.2456,-26.7098,0.6,17.71,2.48,2.51,1.45,271.2456,-26.7098
135," ","PN G004.0-02.7 ",PPAJ1805-2649,4063262984510013952,B,271.3593,-26.8175,0.62,18.66,1.95,2.18,0.99,271.3593,-26.8175
136," ","PN G004.0-11.1 ",M3-29,4047152806963235584,A,279.8576,-30.677,0.78,15.42,-0.17,0.44,-0.42,279.8576,-30.677
137," ","PN G004.1+01.7 ",PPAJ1748-2427,4068444574714528256,B,267.1344,-24.4526,0.78,17.28,2.03,3.43,0.43,267.1344,-24.4526
138," ","PN G004.1+02.4 ",MGE004.1668+02.4238,4068152826285458944,B,266.5136,-24.1184,2.26,20.35,1.7,3.73,-0.17,266.5136,-24.1184
139," ","PN G004.1+03.6 ",PPAJ1741-2332,4116467566158377856,B,265.3701,-23.5387,0.23,18.49,1.11,2.18,-0.01,265.3701,-23.5387
140," ","PN G004.1+07.8 ",PTB2,4120900483473337216,A,261.5512,-21.2987,0.13,18.12,1.09,2.51,-0.21,261.5512,-21.2987
141," ","PN G004.1-03.0 ",PHRJ1806-2652,4063268348965374976,B,271.7335,-26.8817,0.7,18.8,1.86,2.09,0.93,271.7335,-26.8817
142," ","PN G004.2+01.5 ",K6-29,4067690206718112512,A,267.4155,-24.5371,0.49,20.94,2.08,7.6,-1.2,267.4155,-24.5371
143," ","PN G004.2-02.9 ",MGE004.2573-02.9981,4063273807868750464,B,271.754,-26.7639,1.08,18.85,1.17,1.75,0.31,271.754,-26.7639
144," ","PN G004.2-05.2 ",SB8,4052213137471012096,B,273.9599,-27.8164,1.93,18.95,1.16,0.85,0.76,273.9599,-27.8164
145," ","PN G004.2-05.9 ",M2-37,4052151663642866048,B,274.6598,-28.133,0.05,17.32,0.44,1.13,-0.16,274.6598,-28.133
146," ",PN G004.3+01.8a,PHRJ1748-2417,4068459968021536640,B,267.1369,-24.2934,1.97,20.77,2.32,6.86,-0.88,267.1369,-24.2934
147," ","PN G004.3+02.1 ",K5-17,4068510339301899264,B,266.8832,-24.2188,0.87,19.71,0.93,4.6,-1.22,266.8832,-24.2188
148," ","PN G004.3+06.4 ",G4.4+6.4,4117845078118914048,A,262.9658,-21.8218,0.06,19.31,0.16,1.86,-0.84,262.9658,-21.8218
149," ","PN G004.3-01.4 ",PPAJ1801-2553,4064173590585927296,B,270.3288,-25.8892,0.13,18.72,2.6,4.62,0.52,270.3288,-25.8892
150," ","PN G004.4+05.3 ",K6-27,4117568654071497216,A,263.9738,-22.334,0.65,19.57,0.54,1.79,-0.42,263.9738,-22.334
151," ","PN G004.4-03.1 ",PHRJ1807-2637,4063279447122669568,B,272.0004,-26.6274,1.45,17.31,1.96,1.86,1.16,272.0004,-26.6274
152," ","PN G004.5-03.0 ",MPA1807-2631,4063284253314324608,B,271.9275,-26.5178,2.58,19.46,1.6,2.55,0.37,271.9275,-26.5178
153," ","PN G004.6+06.0 ",H1-24,4117684244606678400,B,263.4066,-21.7736,0.24,17.6,1.27,2.12,0.21,263.4066,-21.7736
154," ","PN G004.7-11.8 ",Hen2-418,6737374120482481024,A,281.0608,-30.3271,0.62,15.57,-0.28,0.41,-0.51,281.0608,-30.3271
155," ","PN G004.7-14.7 ",Fr2-26,6760041823976971136,A,284.0894,-31.5105,19.84,20.74,-0.14,0.6,-0.47,284.0894,-31.5105
156," ","PN G004.8-00.5 ",PHRJ1759-2501,4064482480276583552,A,269.7698,-25.0314,4.73,20.8,2.01,24.5,-2.05,269.7698,-25.0314
157," ","PN G004.8-05.0 ",M3-26,4052445920552115200,A,274.0477,-27.2494,0.63,17.8,0.32,1.13,-0.29,274.0477,-27.2494
158," ","PN G004.9+04.9 ",M1-25,4117211214062566528,B,264.6263,-22.1442,0.14,16.61,1.24,1.93,0.29,264.6263,-22.1442
159," ","PN G004.9-04.9 ",M1-44,4052553741216415232,B,274.0723,-27.0763,0.06,14.98,0.68,1.22,0.05,274.0723,-27.0763
160," ","PN G005.0+03.0 ",Pe1-9,4068846235848254208,B,266.4032,-23.0406,1.02,19.01,1.23,2.37,0.03,266.4032,-23.0406
161," ","PN G005.0+04.4 ",H1-27,4117160975714894848,B,265.0748,-22.3217,0.59,17.03,1.32,2.26,0.19,265.0748,-22.3217
162," ","PN G005.0-10.1 ",PPAJ1837-2922,4047559656289337344,B,279.3961,-29.3785,0.66,16.34,-0.06,0.69,-0.44,279.3961,-29.3785
163," ","PN G005.0-14.6 ",Fr2-27,6760328998365142400,A,284.1157,-31.1887,0.5,17.43,-0.27,0.62,-0.62,284.1157,-31.1887
164," ","PN G005.1+01.7 ",MGE005.1020+01.7969,4068603694671339648,B,267.6274,-23.6402,0.97,20.4,2.24,3.47,0.68,267.6274,-23.6402
165," ","PN G005.1+02.6 ",PHRJ1747-2311,4068784182129661184,B,266.8776,-23.197,1.3,19.5,1.13,2.13,0.05,266.8776,-23.197
166," ","PN G005.1+03.2 ",PHRJ1745-2254,4068851428434055040,B,266.3208,-22.9162,0.33,18.44,1.49,2.53,0.26,266.3208,-22.9162
167," ","PN G005.1-03.0 ",H1-58,4064833739880077952,B,272.3076,-26.0414,0.11,15.36,1.73,2.29,0.68,272.3076,-26.0414
168," ","PN G005.1-08.9 ",Hf2-2,4048497024309080064,A,278.1287,-28.7223,0.98,17.16,-0.01,0.46,-0.26,278.1287,-28.7223
169," ","PN G005.2+04.2 ",M3-13,4117171700355196672,B,265.4025,-22.2175,0.5,16.82,1.29,1.84,0.4,265.4025,-22.2175
170," ","PN G005.2+05.6 ",M3-12,4118053199384406144,B,264.0943,-21.5201,0.19,18.74,0.69,1.56,-0.13,264.0943,-21.5201
171," ","PN G005.2-02.4 ",PHRJ1806-2536,4065636417718490240,B,271.705,-25.6126,0.2,17.63,1.62,1.42,0.99,271.705,-25.6126
172," ",PN G005.2-02.4a,PHRJ1807-2535,4065659786723475456,B,271.7638,-25.5955,0.71,18.13,2.89,2.88,1.72,271.7638,-25.5955
173," ","PN G005.2-10.8 ",PPAJ1840-2931,4047506471715127168,A,280.2112,-29.5231,1.04,19.37,-0.07,0.57,-0.39,280.2112,-29.5231
174," ","PN G005.3+02.5 ",MPAJ1748-2259,4068882725801334144,B,267.0525,-22.9941,0.57,18.56,1.28,2.46,0.04,267.0525,-22.9941
175," ","PN G005.4+05.4 ",PHRJ1737-2126,4118012895473955968,A,264.423,-21.4413,2.57,19.19,0.32,1.52,-0.51,264.423,-21.4413
176," ","PN G005.4-01.9 ",PBOZ34,4065731289318917632,A,271.3558,-25.2266,0.16,20.38,0.21,5.38,-1.76,271.3558,-25.2266
177," ","PN G005.4-03.4 ",PHRJ1811-2557,4064733138935660928,B,272.8345,-25.9566,4.2,18.97,0.48,0.96,-0.03,272.8345,-25.9566
178," ","PN G005.4-06.1 ",SB12,4052306870817579520,B,275.4799,-27.163,0.43,18.29,0.66,1.06,0.11,275.4799,-27.163
179," ","PN G005.5+02.7 ",H1-34,4068940935522394240,B,267.0319,-22.7799,0.08,17.46,1.77,2.37,0.68,267.0319,-22.7799
180," ","PN G005.5+06.1 ",M3-11,4118277495405157632,B,263.8393,-20.9565,0.46,16.56,1.01,1.79,0.09,263.8393,-20.9565
