idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,Catalogue,PAdiam,EPA,mainClass,subClass,objID,RAJ2000_x,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
2414,022.1+03.0,PHR J1820-0810,T,18:20:43.8,-08:10:01.70,275.1825,-8.16714,22.15469,3.03284,2006MNRAS.373...79P,,,R,s;,98202751823960443,275.18244107,-8.16663845,0.039,0.038,90.0,444915712,53,56031.39790509,3,10,,,,,16416,,,,,16416,21.3212,0.0434,21.2708,0.0485,16892216,20.5094,0.001,,,16892216,19.5225,0.0363,18.8379,0.2656,16892216,1.817751
2415,022.8-01.9,MPA J1839-0953,T,18:39:44.7,-09:53:15.40,279.93611,-9.88761,22.8047,-1.9246,2008MNRAS.384..525M,,,E,m,96132799358785037,279.93596212,-9.88744164,0.042,0.042,90.0,444669952,53,56489.65350694,2,4,21.5484,0.1708,20.6503,0.1739,16892472,20.2637,0.0717,18.7211,0.0,16892216,,,,,16416,,,,,16416,18.3995,0.0825,17.4145,0.0494,16797752,0.801506
2416,023.2-02.6,MPA J1842-0949,T,18:42:57.7,-09:49:50.30,280.74039,-9.83064,23.2173,-2.6037,2008MNRAS.384..525M,,,S,,96202807403873596,280.74037574,-9.83066125,0.011,0.005,0.0,512024576,61,55960.1912963,10,59,17.7326,0.0098,17.3675,0.0039,16892216,17.1229,0.0048,16.679,0.0015,16892216,17.3889,0.0082,17.1385,0.0044,16892216,17.0942,0.0072,16.7144,0.0075,16892216,16.0573,0.0156,15.5942,0.0195,16892216,0.09171
2417,023.4+00.7,PHR J1831-0805,T,18:31:19.6,-08:05:42.86,277.83168,-8.09524,23.4402,0.7454,2006MNRAS.373...79P,,145.0,E,a;s,98282778320115899,277.83196784,-8.09540902,0.037,0.037,90.0,444669952,53,56186.70402778,1,3,,,,,16416,,,,,16416,,,,,16416,20.2398,0.0555,18.9759,0.0461,16892216,18.4582,0.0,16.9314,0.0362,16793912,1.192772
2419,023.7-01.9,MPA J1841-0904,T,18:41:23.0,-09:04:06.10,280.34585,-9.06836,23.7186,-1.9097,2008MNRAS.384..525M,,,R,a,97112803463108575,280.34631988,-9.06819443,0.02,0.014,0.0,444915712,53,56068.3715162,4,25,,,,,16416,20.7156,0.0933,19.7557,0.0311,16892216,20.2095,0.0444,20.2055,0.0359,16892216,19.5997,0.0241,19.5576,0.0426,16892216,18.9965,0.0553,18.8043,0.2279,16892216,1.773584
2420,023.8-06.2,BMP J1857-1054,L,18:57:09.8,-10:54:51.01,284.29083,-10.91417,23.8264,-6.2095,2008MNRAS.384..525M,,,E,s;,94902842909513424,284.29091679,-10.91417393,0.011,0.007,0.0,436527104,52,55975.4727662,5,46,19.04,0.0055,19.1069,0.0097,115000,19.1734,0.0114,19.3561,0.0142,115000,19.3525,0.0184,19.6065,0.0579,115000,19.5322,0.0269,19.7468,0.0745,115000,19.9778,0.173,,,115000,0.307119
2421,023.9-01.2,MPA J1839-0837,T,18:39:27.2,-08:37:09.23,279.86321,-8.61923,23.9,-1.2802,2008MNRAS.384..525M,,,E,r;s,97652798632757875,279.86328222,-8.61875354,0.021,0.02,0.0,444915712,53,56001.66359954,3,14,,,,,16416,,,,,16416,20.1146,0.0178,19.889,0.0308,16892216,19.2007,0.0282,18.9298,0.0308,16892216,18.4029,0.0532,17.2957,0.0494,16892216,1.734411
2422,023.9-06.5,MPA J1858-1054,T,18:58:32.8,-10:54:29.30,284.63657,-10.90814,23.9841,-6.5107,2008MNRAS.384..525M,,,E,,94912846365830572,284.63658326,-10.90818099,0.052,0.036,0.0,444915712,53,55919.08898148,5,68,17.6765,0.0198,17.1911,0.0089,16892216,17.9921,0.0139,17.6877,0.0126,16892216,18.2434,0.0138,18.0775,0.0111,16892216,18.2472,0.052,18.0244,0.0273,16892216,18.1027,0.0298,17.9413,0.0301,16892216,0.15483
2424,024.2+01.8,MPA J1828-0652,T,18:28:48.0,-06:51:59.98,277.20017,-6.86666,24.2395,1.8692,2008MNRAS.384..525M,,,R,a,99762772002410423,277.2002138,-6.86666589,0.02,0.015,0.0,444915712,53,56084.02251157,4,30,,,,,16416,21.2175,0.1028,20.1743,0.0833,16892216,20.5384,0.0366,19.8148,0.0489,16892216,19.7232,0.0276,18.77,0.0307,16892216,19.1529,0.0641,18.0863,0.0827,16892216,0.157978
2425,024.4-03.5,PHR J1848-0912,T,18:48:32.7,-09:12:01.91,282.13628,-9.20053,24.4055,-3.5442,2006MNRAS.373...79P,,60.0,B,s;,96952821363009925,282.13627616,-9.20042653,0.052,0.052,90.0,310452224,37,56437.73780093,0,3,,,,,0,,,,,0,20.9416,0.0935,20.7115,0.1226,16777752,20.2345,0.0874,19.5211,0.0963,16777752,,,,,0,0.372742
