source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
6353119919810816,42.82386874126032,5.6297308465252,0.5468689384325256,0.054136757,21.772411945155955,-27.700225362594985,0.9449732,16.246096,16.190046,16.356123,-0.16607666,-0.056049347,-0.11002731,,"NOT_AVAILABLE",168.90575184669876,-46.26774306298042,0,true,false,false,false,false,true,true,18276.771,4.4859,-0.5958,15997.161,0.2195,0.2193,0.118,"42.82379166666666 5.629916666666666",42.82379166666666,5.629916666666666,0.0,0.0,0.0,0.0,2000.0,2.01028475335314E-4
18690877333956992,40.7225681463893,6.79597928022343,0.34112689950217984,0.07431408,-1.0708643631417232,-1.4640664802785106,0.87770665,16.521358,16.484425,16.611868,-0.12744331,-0.0369339,-0.090509415,,"NOT_AVAILABLE",165.47968522743483,-46.66237445718348,0,false,false,false,false,false,false,true,,,,,,,,"40.72270833333333 6.795999999999999",40.72270833333333,6.795999999999999,0.0,0.0,0.0,0.0,2000.0,1.4073555075308852E-4
22272497806324480,41.90096371530027,10.593739444545829,1.7731389887045226,0.04628046,8.754851502939838,-16.361411659224782,0.9517002,17.80717,17.976099,17.297462,0.67863655,0.16892815,0.5097084,,"VARIABLE",163.59535547516805,-42.92156111805533,0,false,false,false,true,false,false,true,,,,,,,,"41.90091666666666 10.593805555555551",41.90091666666666,10.593805555555551,0.0,0.0,0.0,0.0,2000.0,8.068099761862499E-5
64362494408898048,56.00822796299913,21.951965670192884,0.7420026372622273,0.6619556,0.824925621676775,-2.8482832855111653,0.9533755,20.48749,20.833578,19.92363,0.90994835,0.3460884,0.56385994,,"VARIABLE",167.61975269089098,-25.580636843124903,0,false,false,false,true,false,false,false,,,,,,,,"56.00791666666666 21.95233333333333",56.00791666666666,21.95233333333333,0.0,0.0,0.0,0.0,2000.0,4.67481568002207E-4
65262719554848896,55.807691147440565,24.08594908520574,0.15995701824515995,0.0467781,4.002984964289673,-3.906657734394164,0.9532524,16.209425,16.557087,15.581618,0.97546864,0.34766197,0.62780666,,"VARIABLE",165.89397219332915,-24.119178515981645,0,true,false,false,true,false,true,true,6342.436,4.4008,-3.5383,1538.2697,0.7763,0.6563,0.3628,"55.807666666666655 24.08594444444444",55.807666666666655,24.08594444444444,0.0,0.0,0.0,0.0,2000.0,2.282607251027071E-5
72035195785242240,56.52612843142523,29.687402198468696,2.4668862156387656,0.037339296,2.8723929407800872,-5.419001857476305,1.2019235,14.824131,15.658266,13.845091,1.8131752,0.83413506,0.97904015,,"NOT_AVAILABLE",162.44438565070232,-19.478453118676764,0,true,true,false,false,false,true,true,3714.4075,4.069,-0.2135,375.4994,0.0164,0.0113,0.0067,"56.52612499999999 29.68744444444444",56.52612499999999,29.68744444444444,0.0,0.0,0.0,0.0,2000.0,4.235102041964288E-5
78395045917118976,31.7211215774147,15.294853186183767,4.018322898027371,0.03228431,-9.560474894108125,-23.72303486106904,1.1717079,10.913024,10.884935,10.856495,0.028440475,-0.02808857,0.056529045,,"VARIABLE",148.5272901025693,-43.79542145537633,0,true,true,false,true,false,false,true,,,,,,,,"31.72120833333333 15.294944444444443",31.72120833333333,15.294944444444443,0.0,0.0,0.0,0.0,2000.0,1.2381814014491638E-4
107522105369340800,32.37423388186484,28.54132872352415,3.619203927091713,0.10681196,4.994979344766727,-23.371756002846517,0.96596915,17.871153,18.093918,17.345852,0.74806595,0.22276497,0.525301,,"VARIABLE",143.01143448872793,-31.26873280296195,0,false,false,false,true,false,false,false,,,,,,,,"32.37416666666666 28.541472222222215",32.37416666666666,28.541472222222215,0.0,0.0,0.0,0.0,2000.0,1.551721184128123E-4
126928996700556928,41.24082278911816,27.519204004749685,2.986578218736761,0.14673555,16.73521219124038,-2.65513839086364,1.0367408,18.358791,18.624836,17.796953,0.82788277,0.26604462,0.56183815,,"VARIABLE",151.7258335908212,-28.92967435710318,0,false,false,false,true,false,false,false,,,,,,,,"41.24074999999999 27.51925",41.24074999999999,27.51925,0.0,0.0,0.0,0.0,2000.0,7.926355701905824E-5
130692247044752768,36.40076869474964,28.097391312526966,3.267098692912787,0.022327797,23.821906184663746,-17.655979624833797,1.3412646,13.2457905,13.49416,12.862815,0.6313448,0.24836922,0.38297558,,"VARIABLE",147.024773965218,-30.331616711856086,0,false,false,false,true,false,false,true,,,,,,,,"36.40066666666666 28.09747222222222",36.40066666666666,28.09747222222222,0.0,0.0,0.0,0.0,2000.0,1.2102510018698162E-4
137451426057294336,47.30610529635239,33.52409088826062,6.169793943511612,0.01702177,3.6339942083009387,-14.411143450373991,1.1430719,12.630922,13.182903,11.929866,1.2530375,0.551981,0.7010565,-49.988304,"NOT_AVAILABLE",153.29227884381626,-21.1008563998264,0,true,true,true,false,false,true,true,4741.187,4.583,-0.1756,162.6004,0.1917,0.1497,0.0792,"47.30658333333333 33.524111111111104",47.30658333333333,33.524111111111104,0.0,0.0,0.0,0.0,2000.0,3.9903001752323946E-4
