source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,ra_parallax_corr,dec_pmdec_corr,ruwe,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,teff_gspphot_upper,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
5864665250151592320,206.62885084509537,-62.90032285626358,0.20632627999111475,0.36799714,-5.451208108708181,0.30756664,-2.759974032720968,0.035907034,-0.44606283,1.0181936,false,19.667248,20.966627,18.630953,0,2.3356743,1.2993793,1.0362949,,"NOT_AVAILABLE",309.1569127978825,-0.6961571599554242,0,false,false,false,false,false,false,false,,,,,,,,,"206.62916666666663 -62.89999999999999",206.62916666666663,-62.89999999999999,0.0,0.0,0.0,0.0,2000.0,3.5346113971078066E-4
5866255487556742400,210.00077156511153,-62.28320593575008,0.6715933995870556,0.037464198,-16.099801040915064,0.026125833,-5.820642713585282,-0.15906836,-0.17676544,1.0757077,false,16.04231,16.522964,15.390286,2,1.132678,0.48065376,0.65202427,,"NOT_AVAILABLE",310.81103338736744,-0.46494766340339433,0,true,false,false,false,false,true,true,5598.3955,5675.573,4.5584,-0.6878,982.2997,0.7097,0.5791,0.3146,"210.0 -62.28333333333333",210.0,-62.28333333333333,0.0,0.0,0.0,0.0,2000.0,3.80798264146218E-4
5891235498387666944,216.12560327042834,-57.83306381693032,-3.1159580841833736,1.6985132,-1.6023011568066305,1.6123686,0.5904901366906355,0.28171027,0.5174955,1.0721532,false,20.80314,21.395582,19.70855,0,1.6870327,0.59244156,1.0945911,,"NOT_AVAILABLE",315.086533892309,2.8256810080333272,0,false,false,false,false,false,false,false,,,,,,,,,"216.125 -57.83333333333333",216.125,-57.83333333333333,0.0,0.0,0.0,0.0,2000.0,4.1927433535674614E-4
5877264205982996096,220.75046756474805,-62.5001896561145,0.4350151925412666,0.13695672,-4.740602604970686,0.13655047,-1.9568833896389266,-0.04965105,-0.14595863,1.3268049,false,18.084517,18.524845,16.797342,57,1.7275028,0.4403286,1.2871742,,"NOT_AVAILABLE",315.41694222945074,-2.3641876680443543,0,false,false,false,false,false,false,true,,,,,,,,,"220.75 -62.49999999999999",220.75,-62.49999999999999,0.0,0.0,0.0,0.0,2000.0,2.8736879004236717E-4
5877264210281255168,220.7502927320319,-62.49983220290874,0.24146241320466155,0.3821474,-2.094553796225462,0.44495663,-2.568849020063256,0.04217811,-0.031890586,1.0669329,false,19.622662,,,,,,,,"NOT_AVAILABLE",315.41701785134796,-2.3638290861411324,0,false,false,false,false,false,false,false,,,,,,,,,"220.75 -62.49999999999999",220.75,-62.49999999999999,0.0,0.0,0.0,0.0,2000.0,2.1546814078470108E-4
5877264210281255424,220.7508214369772,-62.500215368545824,,,,,,,,,false,19.511234,,,,,,,,"NOT_AVAILABLE",315.41708017077445,-2.3642791278796174,0,false,false,false,false,false,false,false,,,,,,,,,"220.75 -62.49999999999999",220.75,-62.49999999999999,0.0,0.0,0.0,0.0,2000.0,4.361755128865907E-4
5879810129445245184,223.7077505012469,-59.06632008261171,-0.09063814054063768,0.41208,0.27438521844558994,0.41005355,-4.063442990688883,-0.06927506,0.52357006,0.95059276,false,19.806784,20.93369,18.573801,3,2.359888,1.1269054,1.2329826,,"NOT_AVAILABLE",318.21484671922786,0.09430348236258158,0,false,false,false,false,false,false,false,,,,,,,,,"223.7083333333333 -59.066666666666656",223.7083333333333,-59.066666666666656,0.0,0.0,0.0,0.0,2000.0,4.5812782665296696E-4
5876956102200177664,228.62505511810852,-59.13323901469546,-0.08520676557585913,0.11643728,-4.629477896678797,0.11671322,-3.4495903263644037,0.07142695,0.15844958,1.1125034,false,17.840242,19.365932,16.569616,3,2.7963161,1.5256901,1.2706261,,"NOT_AVAILABLE",320.38496689830123,-1.1978718702774256,0,false,false,false,false,false,true,true,9249.934,9295.126,3.7433,-0.8022,2949.4666,6.8282,5.1584,2.9101,"228.625 -59.133333333333326",228.625,-59.133333333333326,0.0,0.0,0.0,0.0,2000.0,9.84664786948371E-5
5883268501536197888,230.84669251586396,-57.10016032159882,0.08448599323688906,0.23996626,-1.6652500067140874,0.20102783,-0.9903894700672775,0.26683742,0.3396329,1.0844433,false,18.553982,19.934223,17.365124,8,2.5690994,1.3802414,1.188858,,"NOT_AVAILABLE",322.462819303067,-0.105983357468156,0,false,false,false,false,false,true,false,3922.3914,4032.9539,4.2771,-1.3749,579.6619,3.3533,2.2448,1.2394,"230.8458333333333 -57.1",230.8458333333333,-57.1,0.0,0.0,0.0,0.0,2000.0,4.934550579776626E-4
5883268505827112960,230.84528416561733,-57.09980172118218,0.2969937118687779,0.534535,-5.76350251781646,0.4449263,-4.174489714468747,0.1676283,0.38865477,0.9316481,false,19.853878,,,,,,,,"NOT_AVAILABLE",322.4623757257698,-0.10526431024409029,0,false,false,false,false,false,false,false,,,,,,,,,"230.8458333333333 -57.1",230.8458333333333,-57.1,0.0,0.0,0.0,0.0,2000.0,3.5818179693958936E-4
