source_id,ra,dec,parallax,pmra,pmdec,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
4057670047959302656,267.4125049676634,-27.766748429057102,0.25521569929199084,-1.1435327009468856,0.07189003951851922,0.9762897,false,220.36476693497815,0.9847457,19.829512,44.331869541971706,4.750894,21.221752,230.21622487126064,5.783768,18.842556,2.3791962,1.3922405,0.98695564,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"267.4125 -27.766666666666666",267.4125,-27.766666666666666,0.0,0.0,0.0,0.0,2000.0,8.188046283227618E-5
4097646362308916736,273.99185806825494,-16.449851943931108,0.9122694532075151,-0.5616222570052536,-3.2712257550852537,1.2422241,false,402.82050308383384,1.4555106,19.174587,27.024019168292966,3.657615,21.759167,658.0914214781016,11.4498,17.70218,4.056986,2.5845795,1.4724064,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"273.9916666666666 -16.45",273.9916666666666,-16.45,0.0,0.0,0.0,0.0,2000.0,2.3583355314357445E-4
4104053770722259456,277.7288949094893,-14.866644732230808,,,,,false,110.52448768597884,4.1709433,20.57872,,,,,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"277.72916666666663 -14.866666666666664",277.72916666666663,-14.866666666666664,0.0,0.0,0.0,0.0,2000.0,2.6357452533839825E-4
4259257911414787584,282.7916491508701,-1.5169060906225957,-0.6571829137848192,-2.61312405224067,-3.994924645826629,0.9582225,false,111.2121533984329,1.1550295,20.571987,26.34460803480153,7.4871745,21.786814,91.06011496371542,7.4772573,19.849575,1.9372387,1.2148266,0.7224121,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"282.79166666666663 -1.5166666666666666",282.79166666666663,-1.5166666666666666,0.0,0.0,0.0,0.0,2000.0,2.4006336421100608E-4
4269399836735892736,286.6666259088188,4.466797386502211,0.28118564656266015,-3.5626853469721187,-9.749413951205192,1.0268921,false,997.5090998611125,1.5495242,18.190075,96.22323951691244,4.376803,20.380342,1397.889623922805,5.326932,16.884212,3.49613,2.1902676,1.3058624,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,,"286.66666666666663 4.466666666666666",286.66666666666663,4.466666666666666,0.0,0.0,0.0,0.0,2000.0,1.3688974331285648E-4
4307244962529719040,287.041484904791,7.999855745357696,1.0533951612218733,-1.4579055753855652,-3.8199538491943734,1.0743383,false,,,,,,,122.65594589790142,8.818202,19.526175,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"287.04166666666663 7.999999999999999",287.04166666666663,7.999999999999999,0.0,0.0,0.0,0.0,2000.0,2.3066618022410263E-4
4312489937946615936,286.4584476659088,10.49987859989537,0.4471444910348973,-0.684811904616879,-4.661779071828296,0.9498872,false,587.9328689845199,1.1596873,18.764048,129.8516323557795,10.138907,20.054924,677.4504466834768,16.73216,17.670702,2.384222,1.2908764,1.0933456,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"286.4583333333333 10.499999999999998",286.4583333333333,10.499999999999998,0.0,0.0,0.0,0.0,2000.0,1.654563746673264E-4
2034315249807645056,298.3334059667715,32.91688546069106,0.8110702413835276,-2.4219276628469246,-7.140895461121115,0.99070144,false,193.43627107993518,0.7649908,19.971022,69.75800957192791,4.293158,20.729557,218.09655625902633,4.271919,18.901274,1.8282833,0.7585354,1.0697479,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"298.3333333333333 32.916666666666664",298.33333333333326,32.916666666666664,0.0,0.0,0.0,0.0,2000.0,2.2713106897631505E-4
2163261158824849792,312.666522365473,45.366727079336506,0.1725177193025478,-2.5618726180257423,-2.719481420651977,0.99142045,false,1305.4070602165993,1.3851206,17.898003,417.52039803504636,6.3199396,18.786848,1265.3704016782601,8.795024,16.992352,1.7944965,0.88884544,0.9056511,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,9623.47,4.5011,-2.069,2453.99,4.0288,3.3219,1.8194,"312.66666666666663 45.36666666666666",312.66666666666663,45.36666666666666,0.0,0.0,0.0,0.0,2000.0,1.1801628704624377E-4
5337356374141946880,169.8327984180727,-61.466560623890906,-0.9062215442155155,-7.0919450332255405,2.1842076024941948,1.0175369,false,161.77608358306884,0.9165025,20.165081,46.54858478029661,5.8670764,21.168776,229.84555875943443,5.876297,18.844305,2.3244705,1.0036945,1.320776,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"169.83333333333331 -61.46666666666666",169.83333333333331,-61.46666666666666,0.0,0.0,0.0,0.0,2000.0,2.7664446359337234E-4
