ra,dec
5.1399583333333325,59.31275
7.295249999999999,-74.96105555555555
7.530833333333332,-73.62197222222221
9.692333333333332,40.12138888888888
9.738291666666663,40.525611111111104
9.751499999999998,48.324055555555546
9.883375,40.2068611111111
9.966041666666666,40.36494444444444
10.024833333333332,40.2678611111111
10.073333333333332,41.69813888888888
10.087916666666665,40.75030555555555
10.247083333333332,40.83416666666666
10.321291666666664,40.75669444444444
10.448791666666663,40.96030555555555
10.481708333333332,41.14630555555555
10.484208333333331,41.12638888888888
10.569583333333332,40.73769444444444
10.638208333333331,41.45575
10.648291666666664,41.03
10.675,41.94899999999999
10.699416666666664,-74.70005555555555
10.833249999999998,41.86041666666666
10.848666666666665,41.626
10.894958333333332,41.57997222222222
10.895874999999998,41.732833333333325
10.956416666666666,41.6488611111111
10.973291666666665,41.88980555555555
10.992499999999998,41.48080555555555
10.998,41.04819444444444
11.048791666666665,41.22666666666666
11.091208333333332,41.8571111111111
11.133708333333333,41.328
11.140583333333332,41.73411111111111
11.154958333333331,40.67936111111111
11.168749999999998,41.34783333333333
11.187625,41.69902777777777
11.339791666666663,41.432583333333326
11.391958333333331,41.5136111111111
12.083041666666665,-73.5311111111111
13.539833333333332,-72.69530555555555
13.581458333333332,-72.48649999999999
14.274374999999996,-74.22127777777777
14.801083333333333,-75.08824999999999
16.163874999999997,-75.8068611111111
23.082291666666663,30.625472222222218
23.16295833333333,30.64347222222222
23.263625,30.59119444444444
23.29625,30.25783333333333
23.36254166666666,30.679388888888884
23.395624999999995,30.852305555555557
23.57383333333333,30.688749999999995
23.62558333333333,30.56277777777777
23.646541666666664,30.56927777777777
23.70625,30.79358333333333
23.740791666666663,31.015055555555552
23.795041666666663,30.863
24.09458333333333,54.25066666666666
29.70695833333333,52.89677777777777
34.836625,-2.9776388888888885
55.53883333333332,63.216805555555545
69.440125,-1.3199444444444444
72.96029166666666,-75.05983333333332
73.51416666666665,-70.99227777777777
75.84891666666665,-67.94263888888888
80.45383333333332,32.51113888888889
80.57766666666666,-8.66611111111111
81.25462499999999,-62.48024999999999
84.03187499999999,-64.72291666666666
85.63829166666666,-70.49002777777777
86.33154166666665,-71.26852777777776
87.18091666666666,-67.6028611111111
88.53970833333332,-73.04280555555555
100.72974999999998,55.47422222222222
105.28812499999998,-29.10694444444444
106.05325,12.059527777777776
111.05829166666663,8.897722222222221
111.34483333333333,-3.5973888888888883
111.46366666666664,-7.735583333333333
112.97716666666663,24.503499999999995
119.52445833333331,-7.732083333333332
121.64529166666664,-28.53366666666666
123.55129166666664,-41.708055555555546
126.22141666666666,-51.475805555555546
127.92870833333332,-27.75875
145.3083333333333,-49.37977777777777
148.68037499999997,-57.31455555555555
152.76229166666664,-57.803861111111104
159.78624999999997,-51.40347222222221
167.11449999999996,-65.78919444444443
173.04166666666663,-65.4198611111111
185.8583333333333,-62.637805555555545
186.1354583333333,-28.31547222222222
187.02041666666665,-1.8071388888888889
187.52775,69.20113888888888
188.72391666666664,-64.56555555555555
191.17525,36.76405555555555
191.4459583333333,-63.009916666666655
192.7420833333333,-57.84624999999999
192.85916666666665,-64.99944444444444
196.93291666666664,-48.00541666666666
198.62625,-58.86377777777777
199.00575,-37.00297222222222
200.206125,-55.837416666666655
202.6548333333333,-57.97227777777777
203.57554166666665,-25.38025
203.87479166666665,-64.76199999999999
208.7320833333333,-58.45461111111111
210.82775,-58.15972222222221
212.96691666666663,-51.44002777777777
213.5392083333333,-63.42952777777777
213.99866666666665,-61.89727777777777
214.1429583333333,-21.76394444444444
221.21391666666665,-69.39294444444444
231.20741666666663,-51.83127777777777
235.823625,-58.95616666666666
236.79375,-66.48783333333333
237.1178333333333,-44.31708333333333
237.8163333333333,-48.74958333333333
238.6852083333333,-55.49280555555555
239.87566666666663,25.920166666666663
240.1567083333333,-48.58969444444444
240.420875,66.80280555555555
241.73741666666663,-49.44494444444444
243.5045833333333,-56.9911111111111
243.8734583333333,-22.20433333333333
244.8889583333333,-28.12769444444444
245.2823333333333,-42.39838888888888
245.8402083333333,-27.66955555555555
248.5177083333333,-35.090777777777774
248.8128333333333,-51.70766666666666
248.97416666666663,-47.428083333333326
249.10266666666664,-39.862333333333325
250.38,-45.21794444444444
250.614125,-41.55291666666666
251.14779166666665,-62.62058333333332
252.83504166666663,-26.007416666666664
253.671,-30.38544444444444
253.7165833333333,-30.621722222222218
254.84754166666664,-32.24561111111111
255.365375,-47.759833333333326
255.85875,-35.0716111111111
256.2862083333333,-48.82005555555555
256.6438333333333,23.97183333333333
256.84054166666664,-34.08736111111111
257.1524166666666,-17.441805555555554
257.2290833333333,-23.39347222222222
258.05362499999995,-32.62969444444444
258.8325833333333,-31.56483333333333
258.945125,-31.47508333333333
259.4824166666666,-30.028472222222216
259.9654166666666,-30.0335
259.99024999999995,57.8348611111111
260.2605833333333,-29.38133333333333
260.8383333333333,-30.526388888888885
261.88179166666663,-29.049027777777773
262.0545833333333,-28.32722222222222
262.1122083333333,-28.64294444444444
262.2758333333333,-29.721583333333328
