recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag_x,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
1,,"PN G000.0-01.0 ",JaSt69,4057224264723323264,B,267.5416,-29.3183,0.4,19.65,3.17,3.22,1.86,267.5416,-29.3183,72812675415988445,267.54157334,-29.31826675,0.012,0.006,90.0,444915712,53,56273.28792824,1,18,,,,,16416,20.3442,0.0077,19.4247,0.0266,16892216,19.1298,0.0157,18.8355,0.0342,16793904,17.8616,0.0263,17.725,0.0764,16793904,17.3288,0.0243,16.9929,0.0287,16777488,0.146781
2,,"PN G000.0-02.5 ",K6-36,4056266379788466304,B,268.9702,-30.2613,0.83,19.45,1.91,2.62,0.72,268.9702,-30.2613,71682689701226877,268.97014009,-30.26126446,0.011,0.009,90.0,436527104,52,55593.41578704,4,16,20.7356,0.1024,20.33,0.1756,16892208,19.0535,0.0231,17.3922,0.0151,16892208,18.596,0.0053,18.6606,0.0366,115000,18.0578,0.0025,18.105,0.0381,280,17.8316,0.0385,17.9931,0.0405,114992,0.224241
3,,"PN G000.0-02.9 ",MPAJ1757-3021,4056203849243193728,B,269.3093,-30.3645,2.52,18.42,1.85,3.57,0.11,269.3093,-30.3645,71562693092852904,269.30932394,-30.36450335,0.065,0.056,0.0,436527104,52,55475.08070602,4,7,,,,,16416,18.5318,0.0462,18.8058,0.0227,115000,17.8476,4.0E-4,,,115000,,,,,0,17.1756,0.0307,,,16688,0.075307
5,,"PN G000.1+02.6 ",Al2-J,4061303281130808448,B,263.8977,-27.4015,0.58,17.94,2.41,3.31,0.99,263.8977,-27.4015,75112638976788546,263.89767383,-27.40148643,0.027,0.005,0.0,444915712,53,56129.19886574,4,67,19.5238,0.0326,17.9434,0.0252,16892216,18.1733,0.0142,17.5008,0.1083,16892216,17.2259,0.0037,17.0465,0.0086,16777488,16.5578,0.0045,16.2956,0.0454,16892216,16.0295,0.0096,15.2779,0.1034,16892216,0.098162
6,,"PN G000.1+04.3 ",H1-16,4109679250049965312,A,262.3473,-26.4346,0.22,18.75,1.29,3.63,-0.57,262.3473,-26.4346,76272623473868661,262.34739771,-26.43470976,0.01,0.005,0.0,444915712,53,55861.40568287,6,66,16.1955,0.0301,15.8506,0.0041,16892216,15.914,0.0522,15.4857,5.0E-4,16892216,16.2474,0.0719,15.7305,7.0E-4,16892216,15.482,0.0181,15.0969,0.0075,16892216,14.1752,0.0223,13.785,0.0022,16892216,0.502982
7,,"PN G000.1+17.2 ",PC12,4130784921205604736,B,250.9741,-18.9533,0.08,15.17,0.62,1.13,0.03,250.9741,-18.9533,85252509740886397,250.97408612,-18.95332942,0.011,0.002,90.0,512024576,61,56045.77790509,5,72,14.2562,0.007,14.1226,0.0033,16892216,13.7707,0.0052,13.4778,0.0093,16892216,14.5091,0.0074,14.3556,6.0E-4,16892216,14.5703,0.0076,14.3155,0.0081,16892216,14.0055,0.0362,13.77,0.0874,16892216,0.114414
8,,"PN G000.1-01.9 ",JaSt93,4056400558791818624,B,268.3492,-29.83,0.8,17.64,2.33,2.32,1.37,268.3492,-29.83,72202683491824267,268.34923126,-29.8300134,0.006,0.004,0.0,444915712,53,55925.54956019,3,39,19.604,0.0121,18.7015,0.0199,16892216,17.9556,0.0235,17.6164,0.0344,16892216,17.0723,0.0099,17.1001,0.0,115000,16.3907,0.0696,16.4871,0.0708,280,16.119,0.0049,16.2768,0.0369,272,0.109016
11,,"PN G000.2-01.9 ",M2-19,4056495151130724224,B,268.4402,-29.7297,0.72,16.88,1.34,2.53,0.07,268.4402,-29.7297,72322684401524620,268.44020066,-29.72970092,0.008,0.008,90.0,444915712,53,56111.76605324,3,35,17.0626,0.0088,16.0384,0.0019,16892216,16.4091,0.0257,15.68,0.0,16892216,16.4156,7.0E-4,15.7621,0.0087,16892216,16.1277,0.0284,15.1429,0.0058,16777496,16.0199,0.0,,,16777488,0.003636
12,,PN G000.2-01.9a,JaSt2-14,4056495971440817408,B,268.4195,-29.7107,2.07,16.67,1.47,2.58,0.2,268.4195,-29.7107,72342684195187505,268.41954207,-29.71065093,0.013,0.006,90.0,436527104,52,56072.76881944,3,43,17.5774,0.0015,17.6021,0.0208,16892216,16.7444,0.0101,16.8206,0.0,16892216,16.4393,0.0179,16.5243,0.0496,114992,16.1602,0.0498,16.2197,0.0201,16777496,16.2026,0.0153,16.4565,0.0399,16777488,0.217605
14,,"PN G000.3+04.5 ",PHRJ1729-2614,4109701927482024320,B,262.2806,-26.2455,1.31,20.69,2.13,3.44,0.56,262.2806,-26.2455,76502622806505744,262.28054984,-26.24545862,0.018,0.011,90.0,444915712,53,55899.32744213,5,52,,,,,114720,20.4955,0.0052,19.7211,0.0831,16892216,19.5359,0.0517,19.1519,0.0273,16892216,19.0458,0.0524,18.3911,0.1237,16892216,18.5675,0.0685,18.119,0.0914,115000,0.221432
15,,"PN G000.3+07.3 ",PHRJ1718-2441,4110995812169990400,B,259.6779,-24.6898,2.18,20.47,1.02,1.79,0.1,259.6779,-24.6898,78372596779962534,259.67795259,-24.68977132,0.173,0.125,90.0,436527104,52,55651.58135417,4,24,20.6231,0.0326,20.6328,0.038,115000,20.2218,0.0555,20.0419,0.0429,16892216,19.9679,0.0369,19.7696,0.0213,16892216,19.7775,0.0632,19.6181,0.1215,115000,19.3695,0.1326,19.2443,0.1718,16696,0.201111
16,*,"PN G000.3+12.2 ",IC4634,4126115570219432448,A,255.3899,-21.8259,0.28,13.85,-0.15,0.71,-0.55,255.3899,-21.8259,81802553901899388,255.38990442,-21.82587749,0.011,0.011,90.0,310452224,37,55396.85969907,0,12,13.2484,0.1027,12.0242,0.001,16778264,13.5242,0.001,11.6056,0.001,16778264,13.8216,0.0967,12.5411,0.0161,16778264,12.9062,0.0011,12.4296,0.001,16777488,,,,,0,0.079271
17,*,"PN G000.3-04.2 ",MPAJ1803-3043,4049954873646647040,B,270.8405,-30.7265,0.33,15.38,2.65,1.83,1.89,270.8405,-30.7265,71122708404678421,270.84046169,-30.72654271,0.052,0.04,90.0,503472128,60,56746.34377315,1,8,17.676,0.006,17.7977,0.0092,114992,15.531,,,,16420,14.668,,,,4,14.097,,,,4,13.779,,,,16420,0.195419
19,,"PN G000.4+04.4 ",K5-1,4109691718340733568,B,262.4682,-26.1871,0.81,19.18,1.76,3.75,-0.1,262.4682,-26.1871,76572624681755802,262.46816616,-26.18712775,0.015,0.008,90.0,444915712,53,55817.32797454,5,66,19.2435,0.0597,18.4108,0.0102,16892216,17.8529,0.0019,16.9101,0.0056,16892216,17.9292,0.037,17.1747,0.002,16892216,17.6368,0.0446,16.4455,0.018,16892216,16.4798,0.0432,15.3366,0.0134,16892216,0.149417
20,,"PN G000.4-02.9 ",M3-19,4056250956464755712,A,269.5808,-30.0109,0.68,18.34,0.82,2.7,-0.6,269.5808,-30.0109,71982695808487292,269.58095057,-30.01086654,0.175,0.071,90.0,176316416,21,56276.76005787,4,17,17.2164,0.0371,16.2339,0.0105,16892208,17.1879,0.0164,15.9271,0.1201,16892216,,,,,16416,17.4479,0.0121,16.0604,0.0094,16777528,,,,,16416,0.485037
21,,PN G000.5-03.1a,MPAJ1759-3007,4056239308511338240,B,269.8549,-30.1217,0.23,19.08,1.81,2.35,0.74,269.8549,-30.1217,71852698548814232,269.85487822,-30.12174116,0.02,0.019,90.0,436527104,52,55853.666875,3,12,20.0797,0.0805,20.0993,0.0293,16892208,19.2279,0.0154,,,536,18.5767,0.0429,,,115760,18.1438,0.0202,17.9899,0.029,280,18.2816,0.0517,,,115248,0.162021
22,,"PN G000.6-01.0 ",JaSt77,4057342599736948992,B,267.798,-28.9406,0.08,16.1,1.81,1.11,1.33,267.798,-28.9406,73272677979671521,267.79797477,-28.94061212,0.032,0.025,90.0,512024576,61,56130.92743056,4,60,16.9384,0.0038,16.9634,0.0041,115000,16.0386,0.0116,15.8388,0.0225,16892216,15.553,0.0199,15.2406,0.0034,16892216,14.9944,0.066,14.5859,0.024,16892208,14.152,0.014,13.867,0.0166,16793904,0.091658
23,,"PN G000.6-01.3 ",Bl3-15,4056579538679085952,B,268.1502,-29.111,0.16,19.24,2.03,4.21,-0.03,268.1502,-29.111,73062681503516999,268.15025621,-29.11103112,0.088,0.076,90.0,444674048,53,55970.18505787,1,9,,,,,16416,18.2513,0.0225,17.5369,0.0,16892216,18.19,0.013,17.9026,0.0409,16688,,,,,16416,16.7904,0.0102,16.2738,0.012,16778256,0.209184
24,,"PN G000.7+08.0 ",MPAJ1717-2356,4114088875802922880,A,259.2877,-23.9416,0.37,18.93,0.74,1.98,-0.31,259.2877,-23.9416,79272592876990506,259.28771411,-23.94157995,0.029,0.016,0.0,444915712,53,55955.78951389,10,70,19.2101,0.015,18.9998,0.0468,16892216,18.9259,0.008,18.8998,0.0262,16892216,18.8366,0.0125,18.9046,0.0195,16892216,18.7611,0.0295,18.8976,0.0271,115000,18.7569,0.0233,18.8363,0.0775,115000,0.088256
25,,"PN G000.7-03.7 ",M3-22,4050168629923554944,A,270.5802,-30.2405,0.51,18.35,0.51,1.61,-0.35,270.5802,-30.2405,71712705799991885,270.58023669,-30.24048849,0.021,0.012,90.0,444915712,53,56619.56740741,3,23,16.9569,0.0452,15.3294,0.0095,16892208,,,,,16416,,,,,0,17.7489,0.0166,16.8536,0.0579,16892216,17.3584,0.0983,16.057,0.0125,16892208,0.120793
27,,"PN G000.8+05.2 ",PBOZ5,4109999173694500992,B,261.9106,-25.3741,0.65,19.68,1.06,1.17,0.49,261.9106,-25.3741,77552619106161547,261.91058139,-25.37404915,0.121,0.075,0.0,444915712,53,55887.49224537,5,77,19.1113,0.0093,17.6782,0.0095,16892216,18.5435,0.0276,16.9043,0.0355,16892216,18.7197,0.0286,17.3381,0.0445,16892216,18.5506,0.0267,17.0529,0.0192,16892216,17.7727,0.0729,16.2175,0.019,16892216,0.191891
29,,"PN G000.9+01.3 ",MGE000.9363+01.3962,4060883679948752384,B,265.612,-27.4072,0.23,19.17,3.67,5.08,1.67,265.612,-27.4072,75112656119621665,265.61198711,-27.40720405,0.016,0.005,90.0,503635968,60,55881.14571759,6,41,23.252,,,,16420,20.2538,0.0155,20.3117,0.0293,115000,18.6157,0.0056,18.6911,0.0037,16892208,17.5431,0.007,17.5003,0.0084,16892208,16.8563,0.0135,16.885,0.0416,280,0.043871
30,,"PN G000.9-02.0 ",Bl3-13,4056540677880158208,B,269.0116,-29.188,0.46,18.05,1.15,2.51,-0.14,269.0116,-29.188,72972690116134707,269.0116036,-29.18795683,0.037,0.011,90.0,176480256,21,55947.59318287,6,51,16.8685,0.0225,16.3611,0.0137,16892208,16.5323,0.0089,15.7155,0.0,16810296,16.9596,0.003,16.3676,0.0261,16810296,16.7706,0.0078,15.8629,0.0015,16892216,15.9005,0.1194,15.3313,0.1604,16892216,0.154837
31,,"PN G000.9-03.3 ",PHRJ1801-2947,4050246420409992704,B,270.3061,-29.7837,1.56,19.02,1.34,2.0,0.36,270.3061,-29.7837,72252703061449945,270.30609234,-29.78366816,0.022,0.012,90.0,436527104,52,55792.71935185,3,13,20.9726,0.0554,,,114992,19.5384,4.0E-4,,,115000,19.0493,0.0636,,,272,18.3221,0.0455,18.2859,0.0293,115000,18.3202,0.2577,,,16944,0.120421
33,,"PN G000.9-04.8 ",M3-23,4049925328633027712,A,271.7756,-30.5714,0.1,19.22,0.65,1.77,-0.29,271.7756,-30.5714,71312717756204731,271.77560366,-30.57140651,0.001,0.001,90.0,310452224,37,56573.04106481,0,3,,,,,0,,,,,0,18.0226,8.0E-4,15.0313,0.0034,16777488,18.0705,0.0131,14.8291,0.0052,16778256,,,,,0,0.02705
34,*,"PN G001.0+01.4 ",JaSt2-4,4060890513224820352,B,265.6169,-27.2255,0.5,15.99,1.78,1.66,1.05,265.6169,-27.2255,75322656169029710,265.61690726,-27.22549881,0.007,0.006,90.0,436527104,52,55923.18483796,8,78,17.2491,0.0297,17.2594,0.0284,115000,16.0426,0.0114,16.0499,0.0079,115000,15.508,0.0095,15.5422,0.02,115000,15.1144,0.0139,15.1434,0.0037,115000,15.0525,0.0147,15.17,0.0451,16777496,0.023705
35,,"PN G001.0+01.9 ",K1-4,4060952605654047232,A,265.1142,-27.0173,0.21,20.2,0.94,4.63,-1.22,265.1142,-27.0173,75572651143109569,265.11421285,-27.01723243,0.035,0.017,90.0,444915712,53,56074.88708333,2,40,20.2794,0.0544,20.0114,0.0874,16892216,19.7871,0.1127,19.1873,0.0,16892216,19.8439,0.0319,19.6313,0.0849,16777496,19.3872,0.1166,18.9446,0.1535,16793904,20.0333,0.1247,,,17456,0.245484
36,,"PN G001.0-01.9 ",K6-35,4056546037855269120,B,268.9297,-29.0677,0.99,16.97,1.67,3.06,0.18,268.9297,-29.0677,73112689296548950,268.92968864,-29.06772483,0.018,0.006,0.0,444915712,53,56106.90335648,3,49,17.747,0.0149,15.896,0.0253,16892208,16.9035,0.0064,16.3552,0.0119,16777496,16.4248,0.0095,16.2064,0.0093,16777488,16.2211,0.065,15.9551,0.0878,16892216,16.0134,0.0297,15.5537,0.0283,16892216,0.09817
37,,"PN G001.0-02.0 ",MGE001.0098-02.0666,4056542116661761408,B,269.0264,-29.1259,0.67,19.41,2.15,2.64,1.0,269.0264,-29.1259,73042690264169159,269.02640569,-29.12592557,0.014,0.014,0.0,438624256,52,55912.01886574,1,24,21.3399,0.1241,,,16688,19.5001,0.0,19.3434,0.0337,16777496,19.5466,0.0956,,,272,18.4987,0.0129,,,114744,18.5651,0.0903,,,16688,0.092826
38,,"PN G001.1+02.2 ",MPAJ1739-2648,4060976176417193856,B,264.9571,-26.8126,0.49,19.59,2.52,4.62,0.4,264.9571,-26.8126,75822649571165141,264.95709389,-26.81264121,0.008,0.006,0.0,436527104,52,55879.86971065,4,35,21.8897,0.1139,,,115000,19.9442,0.0099,20.0644,0.0128,115000,19.1625,0.0324,19.3836,0.062,280,18.4144,0.0102,18.5806,0.0264,115000,18.0227,0.0444,18.4006,0.1005,115000,0.152569
39,,"PN G001.1-02.6 ",MPA1758-2915,4062332454138572416,B,269.7151,-29.2663,0.66,18.64,1.91,1.92,1.07,269.7151,-29.2663,72882697152650636,269.71512229,-29.26625961,0.31,0.218,0.0,444915712,53,55650.72546296,3,21,19.7397,0.0091,19.5696,0.0308,16892208,18.5681,0.0312,18.4317,0.0,16892216,18.1262,0.0215,17.7295,0.0154,16793904,17.7455,0.0043,17.51,0.025,16777496,17.5691,0.1648,17.6686,0.0989,114992,0.162031
41,,"PN G001.2+01.3 ",JaSt45,4060981021062265728,B,265.847,-27.1868,1.39,19.46,3.65,4.74,1.76,265.847,-27.1868,75372658469836114,265.84701264,-27.18681465,0.011,0.009,90.0,436527104,52,55953.33328704,7,60,,,,,16416,20.4176,0.0263,20.419,0.072,115000,18.8924,0.0059,18.899,0.0105,16892216,17.8771,0.0268,17.9013,0.0293,115000,17.152,0.0505,17.2522,0.028,115000,0.066473
42,,"PN G001.2+02.1 ",Hen2-262,4060978306741619968,B,265.0535,-26.7394,0.45,18.69,1.72,3.68,-0.12,265.0535,-26.7394,75912650535393039,265.05348846,-26.73938253,0.068,0.005,90.0,512024576,61,56141.71319444,5,71,17.677,0.0355,17.1081,0.0067,16892216,16.8712,0.0108,15.8565,0.0055,16892216,16.9404,0.0246,15.8852,0.0302,16892208,16.3868,0.0121,15.3146,0.0021,16892216,14.9765,0.0276,14.1488,0.0104,16892216,0.075714
43,,"PN G001.2+02.8 ",PPAJ1737-2621,4061796583872776576,B,264.3763,-26.3621,0.46,16.94,1.87,3.47,0.19,264.3763,-26.3621,76362643763385831,264.37630939,-26.36209158,0.021,0.007,90.0,444915712,53,56054.21903935,4,74,18.0711,0.0078,17.8346,0.01,16892216,17.0225,0.0119,16.2904,0.0245,16892216,16.412,0.0037,15.6666,0.0047,16777496,16.0623,0.0099,15.6457,0.1877,16892216,15.9049,0.0116,15.7832,0.0829,16892216,0.044408
44,,PN G001.2-01.2a,JaSt95,4057385514989465216,B,268.397,-28.4808,0.11,18.16,2.78,1.06,2.31,268.397,-28.4808,73822683969973307,268.39701022,-28.48083679,0.031,0.021,0.0,176480256,21,55807.87762731,6,62,,,,,16416,18.4375,0.0656,16.5656,0.1176,16892216,17.4958,0.0163,16.6463,0.0415,16892216,16.6817,0.0038,16.1297,0.0397,16892216,16.237,0.0122,15.7381,0.059,16810296,0.134138
45,,"PN G001.2-01.4 ",JaSt2-15,4063373176122812416,B,268.5985,-28.5804,1.8,18.26,2.54,4.78,0.34,268.5985,-28.5804,73702685984643749,268.59853359,-28.5804419,0.027,0.017,90.0,444915712,53,55756.26608796,3,36,,,,,16416,18.1337,0.0051,17.6947,0.0216,16892216,16.9928,0.0108,16.27,0.0558,16892216,16.4265,0.0062,16.2483,0.0175,16777496,15.8892,0.0148,15.3617,0.0158,16892216,0.183097
46,,"PN G001.2-02.6 ",PHRJ1759-2915,4062333794139284096,B,269.7617,-29.2506,1.3,16.71,1.9,1.94,1.06,269.7617,-29.2506,72892697617199530,269.76171538,-29.25065574,0.012,0.009,0.0,436527104,52,55861.09135417,4,47,18.3229,0.0162,18.6377,0.0505,114992,16.8942,0.002,16.8623,0.0045,16892216,16.3093,0.0701,16.3992,0.1654,115000,15.7887,0.0179,15.7569,0.002,280,15.7107,0.0137,15.7507,0.0296,114992,0.203546
47,,"PN G001.2-05.6 ",PHRJ1811-3042,4049240298544263936,B,272.7613,-30.7033,0.1,18.61,0.35,1.0,-0.19,272.7613,-30.7033,71152727612906353,272.76130012,-30.70325172,0.011,0.011,90.0,444751872,53,55932.23434028,3,5,18.6807,0.0423,18.424,0.0,16892464,18.6636,0.0198,18.705,0.0292,16892464,18.5893,0.015,18.9159,0.0315,536,,,,,16416,19.0246,0.1026,,,114736,0.175522
48,,"PN G001.3-01.0 ",JaSt89,4063395960932807680,B,268.2778,-28.3031,0.91,17.53,1.65,4.46,-0.59,268.2778,-28.3031,74032682777906611,268.27775259,-28.30310662,0.012,0.009,0.0,436527104,52,56107.26126157,4,74,18.4828,0.0086,18.5606,0.01,115000,17.5928,0.0019,17.545,0.0049,16892216,17.2431,0.005,17.3212,0.025,16892216,16.9728,0.0315,16.9933,0.0703,16892216,16.6172,0.0087,15.608,0.0,16793912,0.151834
49,,"PN G001.3-05.6 ",SB5,4049264242907686016,A,272.8142,-30.6306,0.1,15.5,0.24,1.02,-0.32,272.8142,-30.6306,71242728142423617,272.81422117,-30.63055607,0.054,0.008,0.0,436527104,52,55872.60293981,4,16,15.6291,0.0028,15.6609,0.0029,114992,15.6224,0.0029,15.6145,0.0034,114992,15.7494,0.0027,15.7807,3.0E-4,280,15.9696,0.0748,16.0615,0.0131,114992,15.9005,0.0122,16.0499,0.0233,115000,0.171124
50,,"PN G001.4+00.5 ",[GKF2010]MN66,4060739369060593152,B,266.7717,-27.4261,0.47,17.86,2.43,2.46,1.41,266.7717,-27.4261,75082667717558985,266.77174047,-27.42611384,0.004,0.003,90.0,503635968,60,56010.93328704,5,82,19.7569,0.0106,19.9163,0.0235,115000,18.1825,0.0051,18.2647,0.01,115000,17.2464,0.0044,17.3574,0.0088,115000,16.7188,0.0041,16.7742,0.0164,115000,16.3534,0.0066,16.4326,0.0178,115000,0.138874
51,,"PN G001.4-00.7 ",JaSt82,4057456261747292672,B,268.022,-28.0965,1.24,20.63,0.41,25.34,-2.21,268.022,-28.0965,74282680220494525,268.02202668,-28.09647649,0.039,0.026,90.0,436527104,52,55868.83416667,3,30,,,,,16416,,,,,16416,18.4226,0.0,17.9171,0.0158,16892216,18.9884,0.0144,,,115000,18.1262,,18.717,0.0695,115000,0.120773
52,,"PN G001.5+00.9 ",[GKF2010]MN65,4060808874483585536,B,266.4199,-27.1542,0.97,17.3,2.21,2.31,1.23,266.4199,-27.1542,75412664198725271,266.41987824,-27.15420029,0.012,0.004,0.0,503635968,60,56025.61446759,5,73,18.9722,0.0069,19.1251,0.0174,115000,17.5658,0.0097,17.6259,0.003,115000,16.7745,0.003,16.8183,0.0023,114992,16.2505,0.0042,16.3125,0.0083,115000,15.867,0.0075,15.9175,0.0567,115000,0.069746
53,,"PN G001.5+01.5 ",JaSt46,4061009264777169920,B,265.8765,-26.7924,0.57,19.97,2.17,5.47,-0.51,265.8765,-26.7924,75842658764679422,265.87646423,-26.79240835,0.035,0.033,90.0,444915712,53,56011.9828588,10,84,19.66,0.0262,19.5035,0.0133,16892216,17.262,0.0536,16.8332,0.0267,16892216,17.6632,0.0088,17.2692,0.0321,16892216,16.6637,0.0231,16.2852,0.0096,16892216,15.1709,0.0558,14.7455,0.0193,16892216,0.118492
54,,"PN G001.5+03.1 ",PHRJ1737-2559,4062011744524241536,B,264.3188,-25.9941,0.74,18.58,2.67,4.52,0.68,264.3188,-25.9941,76802643189507536,264.31884373,-25.99406112,0.159,0.099,90.0,512024576,61,55928.48126157,18,71,20.1582,0.0151,20.2007,0.0231,115000,18.5113,0.0114,18.3674,0.0217,16892216,17.4536,0.001,17.3473,0.0055,16892216,16.6461,0.02,16.6366,0.0222,16892208,16.1815,0.0029,16.1965,0.039,16892216,0.200483
55,,"PN G001.5+05.3 ",KnJ1729.1-2443,4110412899193532032,B,262.2857,-24.7194,1.27,20.23,1.4,2.85,-0.04,262.2857,-24.7194,78332622856557026,262.28568355,-24.71939855,0.025,0.009,0.0,436527104,52,55937.43421296,5,41,21.1111,0.0521,21.1914,0.1938,115000,20.2806,0.0822,20.6784,0.118,115000,19.7834,0.0381,20.057,0.0581,115000,19.6915,0.0299,,,115000,19.639,0.1024,,,115000,0.054207
56,,"PN G001.5-01.0 ",JaSt2-12,4063398469194112128,A,268.3648,-28.1969,0.69,19.2,1.65,4.62,-0.66,268.3648,-28.1969,74162683648143972,268.36477463,-28.19689417,0.062,0.05,90.0,436527104,52,56004.36228009,3,38,20.162,0.0124,20.258,0.0263,16696,19.0221,0.0142,19.0463,0.0146,115000,18.6536,0.0077,18.6865,0.0195,16892216,18.4395,0.0214,18.4133,0.0218,16696,18.6741,0.2245,18.3612,0.0514,115000,0.082678
57,,"PN G001.5-01.6 ",JaSt2-17,4062630563426969856,B,268.9029,-28.4244,0.61,19.91,2.2,3.29,0.74,268.9029,-28.4244,73892689029941031,268.9029491,-28.4244034,0.009,0.008,0.0,436527104,52,55657.70399306,0,20,,,,,16416,19.7248,0.0348,,,16777496,18.883,0.0062,18.1249,0.0262,16696,18.3759,0.027,18.1736,0.0431,280,18.136,0.0155,17.7605,0.0809,16793904,0.155843
58,,"PN G001.5-06.7 ",SwSt1,4049331244394134912,B,274.0511,-30.8689,0.24,11.84,0.85,0.39,0.66,274.0511,-30.8689,70952740511577611,274.05115236,-30.86887238,0.001,0.001,90.0,604135424,72,53730.31936343,5,16,13.819,,,,32804,12.619,,,,36,12.074,,,,98340,11.755,,,,36,11.552,,,,114724,0.190472
59,,"PN G001.6+01.5 ",K6-10,4061013383646090624,B,265.8206,-26.7382,0.14,19.32,2.21,4.81,-0.13,265.8206,-26.7382,75912658206534431,265.8206066,-26.73819552,0.131,0.028,90.0,444915712,53,56020.07587963,5,83,20.4681,0.0412,19.9132,0.0297,16892216,18.9162,0.0414,18.0453,0.0172,16892216,18.4467,0.0161,17.9336,0.0075,16892208,17.7957,0.0774,17.0649,0.0279,16892216,16.5404,0.0833,15.8356,0.0263,16892216,0.02508
60,,"PN G001.7+01.3 ",JaSt52,4061018988593063040,B,266.1551,-26.7904,0.32,18.13,2.57,4.97,0.26,266.1551,-26.7904,75852661551001813,266.15509615,-26.79042182,0.049,0.032,90.0,243589120,29,55933.45652778,10,71,19.8026,0.0597,19.4587,0.0388,16892216,17.0688,0.0166,17.006,0.0027,16892216,16.8171,0.0303,16.6543,0.009,16892216,15.994,0.0089,15.8506,0.0415,16875832,14.9357,0.0072,14.8601,0.0146,16892216,0.081116
61,,"PN G001.7+05.7 ",H1-14,4110479900747426944,A,262.0073,-24.4232,0.31,19.64,0.82,2.76,-0.62,262.0073,-24.4232,78692620072222518,262.00730924,-24.42312808,0.037,0.017,90.0,512024576,61,55813.65162037,5,67,17.6707,0.0618,15.6813,0.003,16892216,17.3394,0.0879,15.5667,9.0E-4,16892216,17.7399,0.014,16.2369,0.0023,16892216,17.6545,0.1207,15.783,0.0034,16892216,16.4367,0.0533,14.775,0.0098,16892216,0.262849
62,,"PN G001.7-04.4 ",H1-55,4050131349653595392,B,271.8107,-29.6902,0.24,16.6,1.13,1.23,0.53,271.8107,-29.6902,72372718106702071,271.81064912,-29.69017259,0.035,0.02,90.0,512024576,61,56096.20677083,2,39,16.3893,0.0016,16.1757,0.0189,16892216,14.9699,0.025,14.3796,0.006,16777496,15.6389,0.0101,15.522,0.0082,16777488,15.4007,0.0118,15.1446,0.0458,16777488,14.8266,0.0146,14.5619,0.0054,16892216,0.188778
63,,"PN G001.7-04.6 ",H1-56,4050126711087206016,A,271.9745,-29.7429,0.12,15.98,0.38,1.27,-0.31,271.9745,-29.7429,72302719744988804,271.97449723,-29.7429117,0.006,0.005,90.0,512024576,61,56074.07782407,2,31,15.0268,0.0139,14.4551,0.0023,16892216,14.8191,0.0044,14.3476,0.165,16777488,15.59,0.0398,15.1704,0.0161,16777496,15.5116,0.0057,15.2619,0.0059,16777488,15.2193,0.0055,14.6724,0.0444,16892216,0.040014
64,,"PN G001.8-00.4 ",MB4515,4063669086488636928,B,267.9773,-27.6029,0.04,19.97,2.06,2.58,0.93,267.9773,-27.6029,74872679772656742,267.97728026,-27.60295848,0.01,0.009,0.0,436527104,52,56118.17945602,10,42,21.7339,0.0533,22.1384,0.0587,115000,20.1546,0.0722,20.3135,0.1213,115000,19.4012,0.0108,19.4902,0.0331,115000,18.8822,0.0122,18.9377,0.0658,115000,18.5519,0.0091,18.5281,0.1404,115000,0.221293
65,,"PN G001.8-03.7 ",PHRJ1804-2913,4050381621840757760,B,271.1188,-29.2326,0.17,16.18,1.36,1.56,0.62,271.1188,-29.2326,72922711188191191,271.11878988,-29.2326,0.025,0.018,90.0,512024576,61,55922.81167824,5,42,16.981,0.0081,16.9716,0.0089,16892216,16.2703,0.0131,16.3034,0.0082,280,15.8251,0.0055,15.7346,0.0046,16777488,15.5675,0.0023,15.4787,0.0068,16892216,15.406,0.004,15.4425,0.0209,16892208,0.031904
66,,"PN G001.9+02.3 ",K5-10,4061866089277230848,A,265.3522,-26.0648,0.6,20.41,1.4,4.19,-0.71,265.3522,-26.0648,76722653521662540,265.35215671,-26.06482013,0.096,0.02,0.0,512024576,61,56247.50570602,4,66,19.7711,0.0426,18.7202,0.039,16892216,19.389,0.0546,18.1806,0.0493,16892216,19.3368,0.0047,18.941,0.1161,16777496,18.844,0.0435,18.4489,0.0303,16892216,17.9239,0.0091,17.3155,0.0327,16892216,0.157207
67,,"PN G001.9+08.2 ",PM1-139,4114675327843171456,B,259.8593,-22.8032,1.2,19.69,0.67,1.75,-0.25,259.8593,-22.8032,80632598593706536,259.85934164,-22.80317464,0.03,0.013,90.0,176480256,21,55835.24493056,10,29,19.495,0.0299,16.3046,0.0867,16892216,19.3784,0.0109,16.3024,0.0132,16892216,19.4285,0.009,17.2528,0.0,16875832,19.5003,0.0122,17.9089,0.1399,16892216,18.7046,0.0788,16.0768,0.0254,16892216,0.165164
