recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag_x,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
310,,"PN G012.5-09.8 ",M1-62,4078679481810532224,A,282.6085,-22.573,0.28,17.1,-0.27,1.06,-0.85,282.6085,-22.573,80912826085302745,282.60852214,-22.57300864,0.007,0.003,0.0,512024576,61,55935.90888889,5,81,14.7294,0.0089,13.6214,0.001,16892216,15.5586,0.0701,14.3774,1.0E-4,16892216,16.2478,0.0194,15.4036,0.0069,16892216,16.2932,0.0326,15.443,0.0057,16892216,16.0867,0.0519,14.943,0.0107,16892216,0.079965
311,,"PN G012.6-02.7 ",M1-45,4096032936429271296,B,275.7833,-19.2849,0.08,16.07,1.47,2.71,0.12,275.7833,-19.2849,84852757832458530,275.78325433,-19.28484693,0.022,0.015,90.0,512024576,61,55796.36354167,6,58,16.8727,0.013,16.8017,0.0094,16892216,15.0402,0.0181,14.4512,9.0E-4,16892216,15.4599,0.0358,15.2045,0.0193,16793912,15.0097,0.0149,14.8103,0.0048,16793912,14.7266,0.0043,14.2953,5.0E-4,16793912,0.248001
312,,"PN G012.8+09.6 ",Kn42,4161759920423904640,A,264.6863,-12.9556,0.2,19.06,0.25,1.22,-0.42,264.6863,-12.9556,92452646861943828,264.68629373,-12.95558491,0.012,0.009,90.0,444915712,53,56061.36835648,10,67,18.8694,0.0297,17.8531,0.0614,16892216,18.941,0.0088,18.3462,0.0406,16892216,19.1748,0.0083,19.0684,0.0204,16892216,19.2436,0.0208,19.0871,0.0832,16892216,19.2109,0.0579,19.0286,0.1511,115000,0.057892
313,,"PN G012.8-04.7 ",MPAJ1831-2002,4092038406321878784,A,277.8456,-20.0356,0.64,16.6,0.46,1.52,-0.35,277.8456,-20.0356,83952778456107647,277.84562401,-20.03560634,0.012,0.003,90.0,512024576,61,55966.74099537,5,65,16.775,0.0045,16.6407,0.0065,16892216,16.6479,0.0082,16.503,0.0051,16892216,16.6565,0.0051,16.6064,0.0022,16892216,16.6767,0.0086,16.569,0.034,16892216,16.7659,0.0086,16.7862,0.0118,115000,0.083738
314,,"PN G012.9+02.4 ",MPAJ1804-1633,4144322280166446976,B,271.2205,-16.5642,0.69,20.29,1.74,3.88,-0.2,271.2205,-16.5642,88122712204963264,271.22049496,-16.56422502,0.014,0.011,0.0,503635968,60,56006.89393519,5,76,20.1187,0.0202,20.2035,0.0332,115000,18.6973,0.0086,18.797,0.0052,114992,18.9509,0.0101,18.998,0.0258,115000,18.2626,0.0082,18.3219,0.0123,115000,17.2237,0.0274,17.3403,0.0517,115000,0.093689
315,,"PN G012.9+02.6 ",MPAJ1804-1627,4144373854134248960,B,271.0438,-16.4624,0.52,18.27,1.78,1.32,1.21,271.0438,-16.4624,88242710437965488,271.04379504,-16.46241405,0.024,0.019,0.0,512024576,61,55905.97452546,5,70,18.8313,0.004,18.8223,0.0185,16892216,16.553,0.0175,16.369,0.0013,16892216,17.0123,0.0178,16.9328,0.0048,16892216,16.5117,0.0132,16.2508,0.0106,16892216,15.3768,0.0845,15.3164,0.0049,16892216,0.051914
316,,"PN G013.3+01.1 ",Sh2-42,4144080013950472320,A,272.5584,-16.7946,6.4,20.97,2.76,8.03,-0.88,272.5584,-16.7946,87842725584086879,272.55840713,-16.79456955,0.02,0.02,0.0,436527104,52,55781.71457176,1,8,,,,,16416,,,,,16416,20.2355,0.048,20.5108,0.0878,16696,19.2401,0.0206,19.5256,0.0318,115000,18.4791,0.0501,18.8527,0.1036,16952,0.110701
317,,"PN G013.3+32.7 ",Sn1,4407638066429175424,A,245.2683,-0.2696,0.36,14.67,-0.43,0.3,-0.6,245.2683,-0.2696,107672452683116913,245.26833201,-0.26963877,0.008,0.006,0.0,512024576,61,55849.49699074,5,68,13.6816,0.0229,12.9,0.0016,16892216,14.2928,0.0313,13.6608,0.0036,16892216,15.0058,0.0066,14.5159,0.002,16892216,15.1963,0.01,14.6551,0.0043,16892216,15.1057,0.0207,14.3808,0.0182,16892216,0.180985
318,,"PN G013.4+08.8 ",PHRJ1742-1256,4161909453988004224,B,265.7416,-12.9464,1.45,20.98,0.69,1.19,0.07,265.7416,-12.9464,92462657415924649,265.74158788,-12.94645385,0.025,0.024,0.0,436527104,52,55967.49930556,5,21,21.5298,0.1224,21.955,0.2605,115000,21.1433,0.0863,21.482,0.1746,115000,20.7913,0.0384,20.8865,0.1186,115000,20.5033,0.0875,,,115000,,,,,114720,0.199564
319,,"PN G013.4-02.9 ",PHRJ1825-1839,4096168519889437952,B,276.3978,-18.6625,1.2,19.83,1.74,2.55,0.55,276.3978,-18.6625,85602763977615455,276.39776523,-18.66248196,0.269,0.008,0.0,310697984,37,55920.53869213,0,28,20.2383,0.0309,20.0261,0.0443,16777496,19.3301,0.0328,19.1061,0.0034,16777496,18.9558,0.0278,18.5042,0.0374,16777496,18.6001,0.0376,18.3626,0.1136,16777488,18.2904,0.0724,,,272,0.135874
