recno,SNR,RAJ2000,DEJ2000,MajDiam,MinDiam,u_MinDiam,type,l_S(1GHz),S(1GHz),u_S(1GHz),Sp-Index,u_Sp-Index,Names,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
108,G053.6-02.2,294.7083333333333,17.23333333333333,33.0,28.0,,"S ",,8.0,,0.5,,"3C400.2, NRAO 611",128682947088230287,294.70878414,17.23308903,0.052,0.04,90.0,436527104,52,55917.3865162,10,64,19.4408,0.0071,19.5463,0.0128,115000,18.2754,0.0057,18.3074,0.0109,115000,17.6227,0.0062,17.6669,0.0043,115000,17.2031,0.0117,17.2879,0.0115,115000,16.9524,0.021,17.0314,0.0171,115000,1.782176
111,G055.0+00.3,292.99999999999994,19.833333333333332,20.0,15.0,?,"S ",,0.5,?,0.5,"? ",,131802929999260980,292.99992472,19.83369372,0.069,0.069,90.0,436281344,52,55714.82818287,1,3,,,,,16416,,,,,16416,21.2905,0.0543,21.5082,0.1296,115000,,,,,16416,,,,,16416,1.322201
112,G055.7+03.4,290.3333333333333,21.73333333333333,23.0,,,"S ",,1.0,?,0.3,"? ",,134082903331230074,290.33310935,21.73294484,0.02,0.019,90.0,436527104,52,56031.85287037,5,33,22.3561,0.1608,,,115000,20.898,0.0094,21.222,0.098,115000,20.0408,0.0508,20.3973,0.0103,115000,19.6234,0.0603,20.0373,0.0831,115000,19.097,0.0678,19.4479,0.0544,115000,1.586522
118,G065.3+05.7,293.24999999999994,31.16666666666666,310.0,240.0,,S?,,42.0,,0.6,,,145402932502170465,293.25018254,31.16652608,0.088,0.088,90.0,436363264,52,56042.86609954,2,5,,,,,16416,,,,,16416,21.2075,0.1628,,,114992,21.1402,0.071,,,115000,,,,,16416,0.756522
125,G069.0+02.7,298.3333333333333,32.916666666666664,80.0,,?,"? ",,120.0,?,,"v ",CTB 80,147502983334320846,298.33340543,32.91688621,0.028,0.009,90.0,436527104,52,56013.845625,5,68,21.253,0.0404,21.4716,0.0734,115000,20.0162,0.0405,20.2397,0.0615,115000,19.427,0.0344,19.5154,0.0461,115000,19.0451,0.0164,19.118,0.0425,115000,18.8656,0.0366,19.034,0.0627,115000,0.819838
136,G085.4+00.7,312.66666666666663,45.36666666666666,24.0,,?,"S ",,,?,0.2,,,162443126665510732,312.66652532,45.36673033,0.01,0.003,90.0,503635968,60,56076.47519676,5,60,19.0309,0.0078,19.1448,0.0074,115000,18.026,0.0033,18.1122,0.0057,115000,17.4227,0.0032,17.5153,0.0066,115000,17.0679,0.0042,17.1641,0.0101,115000,16.7287,0.0055,16.8401,0.0195,115000,0.424657
155,G130.7+03.1,31.42083333333333,64.81666666666666,9.0,5.0,,"F ",,33.0,,0.07,,"3C58, SN1181",185780314204861326,31.42057174,64.81713939,0.011,0.006,0.0,503635968,60,56292.42501157,5,29,18.5799,0.0126,18.664,0.0078,115000,17.6433,0.0036,17.7633,0.005,115000,17.1545,0.0042,17.2385,0.0048,115000,16.8826,0.0103,16.9781,0.0057,115000,16.7024,0.0036,16.831,0.0109,114992,1.748346
168,G184.6-05.8,83.62916666666665,22.016666666666662,7.0,5.0,,"F ",,900.0,,0.3,,"Crab Nebula, 3C144, SN1054",134420836293490508,83.6293836,22.01675887,0.01,0.01,90.0,444674048,53,55205.94141204,1,6,,,,,16416,17.5888,0.0059,10.5999,0.001,16793912,,,,,16416,,,15.7423,0.0046,16440,16.1891,0.0093,8.0443,0.001,16892216,0.796471
171,G205.5+00.5,99.74999999999999,6.499999999999999,220.0,,,"S ",,140.0,,0.4,,Monoceros Nebula,115800997503220556,99.75037324,6.50010051,0.035,0.035,90.0,302063616,36,56209.84579861,0,3,,,,,0,20.7521,0.1002,20.8623,0.0648,1048,20.3375,0.0864,20.5332,0.1627,1040,,,,,0,,,,,0,1.383192
288,G357.7+00.3,264.6458333333333,-30.73333333333333,24.0,,,"S ",,10.0,,0.4,"? ",,71122646454350461,264.64541946,-30.73321078,0.086,0.038,90.0,436527104,52,55499.43123843,3,8,19.111,0.0245,19.1934,0.0323,280,,,,,16416,17.1782,0.0019,17.2338,0.0047,115000,16.6918,0.0097,16.7835,0.0312,114992,16.4551,0.0291,16.5198,0.0124,114992,1.354554
289,G358.0+03.8,261.49999999999994,-28.599999999999994,38.0,,,"S ",,1.5,?,,"? ",,73682615004960431,261.50048827,-28.5998878,0.066,0.045,90.0,302309376,36,55663.1233912,0,8,,,,,0,21.7056,0.1546,,,280,21.3052,0.0563,20.8711,0.1447,528,,,16.8551,0.026,16,20.4151,0.2057,,,272,1.595277
292,G359.0-00.9,266.7083333333333,-30.266666666666662,23.0,,,"S ",,23.0,,0.5,,,71682667087180708,266.70874347,-30.26633521,0.008,0.007,0.0,436527104,52,56027.63891204,4,21,21.1587,0.1128,20.6028,0.1405,16794168,20.3381,0.058,20.4002,0.0949,16892216,19.1088,0.0044,19.1139,0.0635,115000,18.2563,0.0092,18.3609,0.0336,114992,17.7664,0.042,17.7756,0.0682,16892208,1.746439
