recno,uid,R,GCVS,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Epoch,GLON,GLAT,VarType,Per,OutDate,Cl,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,u_Minmag,n_Minmag,ref(Coo),f_ref(Coo),ref(pm),ref(CV),f_ref(CV),ref(CV)2,f_ref(CV)2,ref(Cha),u_ref(Cha),n_ref(Cha),ref(Sp),n_ref(Sp),u_ref(Sp),f_ref(Sp),ref(Per),f_ref(Per),Names,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch_x,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
518,7869,*,DV UMa,146.6524583333333,44.779083333333325,-0.02696,0.0039,-0.00601,0.00389,2001.967,175,49,UGSU,0.085853,,,,15.4,v,,20.6,,v,2006-22,,2006-22,1997-30,,,,1982-19,,,1990-09,S,,,2000-72,,US 943,,H,,,,,R,,,,161731466523785538,146.65231359,44.77906234,0.004,0.002,90.0,503636096,60,56196.37342593,10,85,19.1868,0.0266,19.2512,0.0346,115000,18.7649,0.0823,18.8973,0.0496,115000,18.349,0.0496,18.4575,0.0355,115000,18.0985,0.0423,18.2139,0.0501,115000,17.8518,0.0461,17.9259,0.079,115000,0.377517
532,7884,*,UMa2,151.3720833333333,50.34438888888888,,,,,,,,non-CV,,,,,,,,,,,,,,1994-49,*,,,,,,,,,,,,PG 1002+506,,,,,,,,,,,168411513720893816,151.37204793,50.34423668,0.008,0.006,0.0,503635968,60,56380.16667824,5,102,14.9229,0.0013,14.987,0.0029,115000,15.2107,0.0046,15.2646,0.0024,115000,15.4721,0.0017,15.5319,0.0015,115000,15.6554,0.0053,15.7044,0.0067,115000,15.7407,0.0051,15.7978,0.0059,115000,0.553956
511,8449,,UMa,143.20654166666665,47.42305555555555,0.00746,0.0039,-0.0022,0.00389,2001.888,171,47,DQ,0.066162,,,,17.8,s,,,,,2006-22,,2006-22,2006-08,,,,A9999-99,,,2004-45,S,,,2006-08,,SDSS J093249+472523,,,,,,,,,,,164901432065748294,143.2065758,47.4230087,0.011,0.007,0.0,436527232,52,56201.063125,5,75,19.161,0.0902,19.1591,0.1192,115000,19.2936,0.0419,19.3248,0.0411,115000,19.32,0.0741,19.4254,0.0758,115000,19.0685,0.0892,19.2442,0.0931,115000,19.199,0.1804,18.98,0.3211,115000,0.188056
519,7875,,ER UMa,146.7997083333333,51.902499999999996,0.03146,0.0039,-0.00382,0.00389,2002.022,164,48,UGSU,0.06366,,,,12.8,V,,15.8,,V,2006-22,,2006-22,1995-35,,,,1986-06,,,1994-07,S,,,1997-54,,UMa1; PG 0943+521,U,,,,,,,,,,170281467999483690,146.79995935,51.90245937,0.003,0.003,0.0,235200512,28,56415.42173611,10,61,13.5553,0.0011,13.3547,0.001,16876088,13.8568,0.0853,13.8951,0.0785,115000,14.0045,0.0173,14.0504,0.0253,115000,15.2856,0.0012,15.3379,1.0E-4,115000,15.0688,0.0828,15.1209,0.092,115000,0.576426
584,7866,*,CY UMa,164.23749999999998,49.68841666666666,-0.02195,0.0039,0.01361,0.00389,2002.033,159,59,UGSU,0.06795,,,,12.3,V,,17.8,,V,2006-22,,2006-22,1995-41,,,,1977-01,,*,1992-01,S,,,1995-58,,SVS 2198,,H,,,2,,R,,,,167621642373506809,164.23730265,49.68843329,0.007,0.005,90.0,503636096,60,56427.92719907,5,86,17.2643,0.0654,17.3126,0.0594,115000,17.2677,0.0128,17.328,0.0111,115000,17.1803,0.0218,17.2441,0.0241,115000,16.9231,0.0516,16.976,0.0495,115000,16.7132,0.0276,16.7442,0.0509,115000,0.463507
578,7880,*,UMa5,162.0750833333333,52.30827777777777,0.01362,0.0039,-0.02034,0.00389,2001.962,157,56,UG,0.271278,,,,16.5,B,,,,,2006-22,,2006-22,1990-18,,,,1991-12,,,1988-01,S,,,2001-97,,CW 1045+525,,H,,,,,,,,,170771620751390630,162.07509396,52.30819709,0.007,0.005,90.0,503636096,60,56332.15784722,5,70,15.7115,0.0074,15.767,0.0059,115000,14.9194,0.0223,14.9625,0.0204,115000,14.5328,0.0174,14.5849,0.0139,115000,14.2823,0.0115,14.3553,0.0132,115000,14.078,0.016,14.1418,0.0129,115000,0.291416
619,7886,*,UMa4,174.64866666666666,57.87424999999999,,,,,,,,non-CV,,,,,,,,,,,,,,1994-07,*,,,,,,,,,,,,PG 1136+581,,,,,,,,,,,177441746486859696,174.64859895,57.87411311,0.112,0.057,0.0,512024576,61,56058.02133102,5,112,16.3136,0.021,15.4961,0.0046,16892216,16.474,0.0478,15.5015,0.0105,16892216,16.9193,0.035,15.7154,0.0056,16892216,17.1683,0.0381,15.7081,0.0155,16892216,16.6113,0.0458,15.5352,0.0137,16892216,0.50957
632,7888,*,UMa,178.35304166666666,59.66580555555555,,,,,,,,non-CV,,,,,,,,,,,,,,2001-17,*,,,,,,,,,,,,SBS 1150+599A,,,,,,,,,,,179591783531369722,178.35308375,59.66584477,0.01,0.009,90.0,444915712,53,56132.22489583,5,67,17.7286,0.0167,17.6238,0.0053,16892216,18.065,0.0165,17.7835,0.0091,16892216,18.5057,0.015,18.4306,0.0174,16892216,18.7851,0.0126,18.6578,0.0142,16892216,18.863,0.0414,18.6244,0.0242,16892216,0.160574
580,7873,,EK UMa,162.8964583333333,54.076694444444435,-0.02361,0.0039,-0.01756,0.00389,2001.962,154,55,AM,0.07948,,,,18.0,v,,20.0,,v,2006-22,,2006-22,1995-41,,,,1987-01,,,1987-01,S,,,1987-01,,1E 1048.5+5421,,,,1,2,,R,,,X,172891628963642642,162.89633685,54.07661387,0.008,0.003,90.0,436527296,52,56192.27113426,5,67,19.4156,0.0514,19.4238,0.0698,115000,19.2925,0.1324,19.4502,0.1039,115000,19.1692,0.0782,19.2968,0.0651,115000,19.1518,0.1313,19.0933,0.1013,115000,18.9927,0.1148,18.9244,0.0862,115000,0.387269
551,7982,*,KS UMa,155.11049999999997,53.0758611111111,-0.02432,0.0039,0.00237,0.00389,2002.022,160,52,UGSU,0.068,,,,13.0,p,,17.0,,p,2006-22,,2006-22,1998-50,,,,1998-23,,*,2000-80,S,,,2003-81,,RX J1020+5304,,H,,,,,R,,,,171691551104481724,155.11046534,53.07582232,0.003,0.002,90.0,503636096,60,56370.88689815,5,85,16.8848,0.0261,16.9611,0.025,115000,16.8637,0.0416,16.9199,0.0329,115000,17.0015,0.02,17.0136,0.0203,115000,16.6332,0.0239,16.7018,0.0209,115000,16.4276,0.0214,16.4813,0.0393,115000,0.158495
