# recno   PNG           Name              f_PNG   RAJ2000              DEJ2000                SpType1              r_SpType1   SpType2         r_SpType2   BR        rspect                     Com                                                                                                                                  SimbadName       recno   PNG           l_logg   logg   E_logg   e_logg   r_logg    TpTeff    l_logTeff   logTeff   E_logTeff   e_logTeff   r_logTeff   l_logL   logL    E_logL   e_logL   r_logL    Band   l_mag   mag     E_mag   e_mag   r_mag     Note      
  1       "No 1       " "KPD 0005+5106"   *       2.076666666666666    51.3886111111111       DO                   "D1999  "   " "             "       "   "       " DL1985,DW1996              " "                                                                                                                                  "KPD 0005+5106"  1       "No 1       " " "      7.0    ""       ""       "N1999  " eff       " "         5.079     ""          ""          "N1999  "   " "      3.7     ""       ""       "WW2010 " "v "   " "     12.99   ""      ""      "WW2010 " " "       
  271     "130.3-11.7 " "M 1-1"           " "     24.33083333333333    50.46988888888888      cont.                "ZA1986 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G130.3-11.7" 271     "130.3-11.7 " " "      5.22   ""       ""       "M1997  " " "       " "         4.94      ""          ""          "MP2006 "   " "      3.489   ""       ""       "AG1985 " "v "   " "     16.2    ""      ""      "TA1991 " " "       
  272     "130.9-10.5 " "NGC 650-1"       " "     25.582916666666662   51.575333333333326     "PG 1159 (E) + ?"    "WH2006 "   " "             "       "   "C1973  " NS1995                     " "                                                                                                                                  "PN G130.9-10.5" 272     "130.9-10.5 " " "      7.31   ""       ""       "FP2016 " " "       " "         5.14      ""          ""          "FP2016 "   " "      2.23    ""       ""       "MK2015 " "v "   " "     17.53   ""      ""      "FP2016 " " "       
  259     "118.0-08.6 " "Vy 1-1"          " "     4.675833333333332    53.87222222222221      O(H)                 "N1999  "   [WC]            "AK1985 "   "       " -                          " "                                                                                                                                  "PN G118.0-08.6" 259     "118.0-08.6 " " "      4.2    ""       ""       "N1999  " eff       " "         4.778     ""          ""          "N1999  "   " "      3.687   0.041    0.041    "SV2002 " "v "   " "     13.93   ""      ""      "TA1991 " " "       
  261     "119.6-06.7 " "Hu 1-1"          " "     7.064999999999999    55.965194444444435     "A? + ?"             "SECGPN "   " "             "       "   bc-CSPN   -                          " "                                                                                                                                  "PN G119.6-06.7" 261     "119.6-06.7 " " "      5.98   ""       ""       "M1997  " eff       " "         5.055     0.066       0.066       "SV2002 "   " "      2.686   0.176    0.176    "SV2002 " "v "   " "     19.5    ""      ""      "TS1994 " " "       
  263     "120.2-05.3 " "Sh 2-176"        " "     7.972083333333332    57.38027777777777      DA                   "NS1995 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G120.2-05.3" 263     "120.2-05.3 " " "      7.5    ""       ""       "P1996  " eff       " "         4.813     ""          ""          "P1996  "   " "      1.73    ""       ""       "Fd2008 " "v "   " "     18.7    0.4     0.4     "NS1995 " " "       
  283     "147.4-02.3 " "M 1-4"           " "     55.430833333333325   52.28341666666666      Of                   "AK1987 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G147.4-02.3" 283     "147.4-02.3 " " "      5.06   ""       ""       "M1997  " *         " "         4.826     ""          ""          PM2003b     " "      3.869   ""       ""       "M1997  " "v "   " "     16.7    ""      ""      "AK1987 " " "       
  278     "138.8+02.8 " "IC 289"          " "     47.58041666666666    61.31694444444444      O(H)                 "N1999  "   WD?             "CG2009 "   "       " -                          " "                                                                                                                                  "PN G138.8+02.8" 278     "138.8+02.8 " " "      5.6    ""       ""       "GP1988 " eff       " "         5.0       ""          ""          "GP1988 "   " "      2.76    ""       ""       "AG1985 " "v "   >       15.9    ""      ""      "SECGPN " " "       
  274     "135.6+01.0 " "WeBo 1"          " "     40.059999999999995   61.15466666666666      "K0 III + ?"         "SB2007 "   " "             "       "   "BP2003 " BP2003                     " "                                                                                                                                  "PN G135.6+01.0" 274     "135.6+01.0 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "v "   " "     14.45   ""      ""      "BP2003 " " "       
  277     "138.1+04.1 " "HDW 2"           " "     47.75541666666666    62.7958611111111       "A + ?"              "SECGPN "   " "             "       "   bc-CSPN   -                          " "                                                                                                                                  "PN G138.1+04.1" 277     "138.1+04.1 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
