# recno   PNG           Name              f_PNG   RAJ2000              DEJ2000                SpType1              r_SpType1   SpType2         r_SpType2   BR        rspect                     Com                                                                                                                                  SimbadName       recno   PNG           l_logg   logg   E_logg   e_logg   r_logg    TpTeff    l_logTeff   logTeff   E_logTeff   e_logTeff   r_logTeff   l_logL   logL    E_logL   e_logL   r_logL    Band   l_mag   mag     E_mag   e_mag   r_mag     Note      
  9       "No 9       " "BD+28 4211"      *       327.7958333333333    28.863999999999997     sdO                  "LF2015 "   " "             "       "   "       " LF2015,H1999               " "                                                                                                                                  "BD+28 4211"     9       "No 9       " " "      6.52   0.05     0.05     "LF2015 " eff       " "         4.91      0.007       0.007       "LF2015 "   " "      ""      ""       ""       "       " "v "   " "     10.58   ""      ""      "LF2015 " " "       
  250     "106.5-17.6 " "NGC 7662"        " "     351.4733333333333    42.535                 O(H)                 "HB2011 "   cont.           "CP1985 "   "       " HB2011                     " "                                                                                                                                  "PN G106.5-17.6" 250     "106.5-17.6 " " "      5.7    ""       ""       "HB2011 " eff       " "         5.102     0.034       0.034       "SP2015 "   " "      3.78    ""       ""       "HB2011 " "v "   " "     13.3    ""      ""      "HA1997 " " "       
  252     "107.6-13.3 " "Vy 2-3"          " "     350.74125            46.899472222222215     "O(H)3-4 I"          "WG2018 "   " "             "       "   "       " WG2018                     " "                                                                                                                                  "PN G107.6-13.3" 252     "107.6-13.3 " " "      3.7    ""       ""       "ZK1993 " eff       " "         4.531     ""          ""          "Gd2013 "   " "      4.153   ""       ""       "SV2002 " "v "   " "     14.55   ""      ""      "TA1991 " " "       
  229     "084.7-08.0 " "Kn 26"           " "     320.78874999999994   38.96972222222222      Blue                 "GM2013 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G084.7-08.0" 229     "084.7-08.0 " " "      ""     ""       ""       "       " " "       " "         4.845     ""          ""          "GM2013 "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  230     "084.9-03.4 " "NGC 7027"        " "     316.75749999999994   42.23611111111111      cont.                "HH1994 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G084.9-03.4" 230     "084.9-03.4 " " "      6.0    ""       ""       "SP2015 " eff       " "         5.211     0.053       0.053       "SP2015 "   " "      3.467   ""       ""       "SP2015 " "v "   " "     16.2    ""      ""      "HH1994 " " "       
  232     "086.9-03.4 " "Ou 5"            " "     318.5833333333333    43.69333333333333      "K + ?"              "CR2014 "   " "             "       "   "CR2014 " -                          " "                                                                                                                                  "PN G086.9-03.4" 232     "086.9-03.4 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "i "   " "     18.0    ""      ""      "CR2014 " variable  
  235     "089.8-05.1 " "IC 5117"         " "     323.1291666666666    44.59680555555555      [WR]                 "SECGPN "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G089.8-05.1" 235     "089.8-05.1 " " "      8.0    ""       ""       "SP2015 " eff       " "         5.098     0.035       0.035       "SP2015 "   " "      3.417   ""       ""       "SP2015 " "v "   " "     16.4    ""      ""      "TA1991 " " "       
  234     "089.3-02.2 " "M 1-77"          " "     319.7808333333333    46.313111111111105     B1                   "t.w.   "   " "             "       "   "       " d2009                      " "                                                                                                                                  "PN G089.3-02.2" 234     "089.3-02.2 " " "      ""     ""       ""       "       " eff       " "         4.32      0.006       0.006       "SV2002 "   " "      4.43    0.03     0.03     "SV2002 " "v "   " "     12.1    ""      ""      "TA1991 " " "       
  243     "100.0-08.7 " "Me 2-2"          " "     337.9320833333333    47.801083333333324     Of                   "AK1987 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G100.0-08.7" 243     "100.0-08.7 " " "      3.5    ""       ""       "ZK1993 " z(H)      " "         4.771     ""          ""          "KJ1991 "   " "      4.061   ""       ""       "ZK1993 " "v "   " "     16.1    ""      ""      "TS1994 " " "       
  249     "104.8-06.7 " "M 2-54"          " "     342.91208333333327   51.8451111111111       "B? + ?"             "H2003  "   O9V             "GP2003 "   bc-CSPN   -                          " "                                                                                                                                  "PN G104.8-06.7" 249     "104.8-06.7 " " "      ""     ""       ""       "       " " "       " "         4.477     ""          ""          "H2003  "   " "      ""      ""       ""       "       " "v "   " "     12.05   ""      ""      "TA1991 " " "       
  258     "114.0-04.6 " "A 82"            " "     356.4491666666666    57.06624999999999      "K0 IV + ?"          "CB1999 "   " "             "       "   bc-CSPN   -                          "The true central star is unidentified (Kaler & Feibelman 1985)"                                                                     "PN G114.0-04.6" 258     "114.0-04.6 " " "      ""     ""       ""       "       " eff       " "         4.863     0.031       0.031       "SV2002 "   " "      3.071   0.135    0.135    "SV2002 " "v "   " "     14.92   0.1     0.1     "Pi2005 " " "       
  244     "100.6-05.4 " "IC 5217"         " "     335.98208333333326   50.966805555555545     [WC]?                "t.w.   "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G100.6-05.4" 244     "100.6-05.4 " " "      5.5    ""       ""       "HA2001 " eff       " "         4.978     ""          ""          "Gd2013 "   " "      3.82    ""       ""       "ZK1993 " "v "   " "     16.3    ""      ""      "TA1991 " " "       
  245     "102.9-02.3 " "A 79"            " "     336.5720833333333    54.82727777777777      "F0 V + ?"           "B2008  "   " "             "       "   bc-CSPN   -                          " "                                                                                                                                  "PN G102.9-02.3" 245     "102.9-02.3 " " "      7.3    ""       ""       "B2008  " eff       " "         4.389     0.212       0.212       "SV2002 "   " "      2.404   3.527    3.527    "SV2002 " "v "   " "     16.97   ""      ""      "dP2013 " " "       
  248     "104.4-01.6 " "M 2-53"          " "     338.07374999999996   56.173916666666656     "WN a?"              "SECGPN "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G104.4-01.6" 248     "104.4-01.6 " " "      7.1    ""       ""       "B2008  " eff       " "         5.035     0.007       0.007       "SV2002 "   " "      2.521   0.023    0.023    "SV2002 " "b "   " "     21.2    ""      ""      "KS1990 " " "       
  251     "107.4-00.6 " "K 4-57"          *       342.1429166666666    58.48563888888888      SySt                 "GG2014 "   " "             "       "   "       " GG2014                     " "                                                                                                                                  "PN G107.4-00.6" 251     "107.4-00.6 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  257     "111.8-02.8 " "Hb 12"           " "     351.5616666666666    58.181861111111104     "B[e]? + ?"          "LZ1998 "   WN7?            "SECGPN "   "HI2006 " HI2006                     " "                                                                                                                                  "PN G111.8-02.8" 257     "111.8-02.8 " " "      3.1    ""       ""       "ZK1993 " z(H)      " "         4.681     ""          ""          "KJ1991 "   " "      4.199   ""       ""       "ZK1993 " "v "   " "     13.6    ""      ""      "TA1991 " " "       
  254     "107.7-02.2 " "M 1-80"          " "     344.0824999999999    57.15574999999999      cont.                "SECGPN "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G107.7-02.2" 254     "107.7-02.2 " " "      7.66   ""       ""       "M1997  " eff       " "         5.226     0.301       0.301       "SV2002 "   " "      2.748   0.302    0.302    "SV2002 " "  "   " "     ""      ""      ""      "       " " "       
  190     "055.6+02.1 " "Hen 1-2"         " "     291.6570833333333    21.157472222222218     "O9 - B0 I"          "WG2018 "   " "             "       "   "       " WG2018                     " "                                                                                                                                  "PN G055.6+02.1" 190     "055.6+02.1 " " "      ""     ""       ""       "       " eff       " "         4.475     0.038       0.038       "SV2002 "   " "      3.867   0.097    0.097    "SV2002 " "v "   " "     16.7    ""      ""      "TA1991 " " "       
  197     "060.4+01.5 " "PM 1-310"        " "     294.7170833333333    25.092388888888884     "[WC 11]"            "SECGPN "   " "             "       "   "       " P2005                      " "                                                                                                                                  "PN G060.4+01.5" 197     "060.4+01.5 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "v "   " "     18.6    ""      ""      "GT2000 " " "       
  198     "060.5+01.8 " "Hen 2-440"       " "     294.53499999999997   25.261388888888884     wels?                "GG2014 "   " "             "       "   "       " GG2014                     " "                                                                                                                                  "PN G060.5+01.8" 198     "060.5+01.8 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  203     "061.8+02.1 " "Hen 2-442"       *       294.9308333333333    26.492527777777774     SySt                 "BM2000 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G061.8+02.1" 203     "061.8+02.1 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "v "   " "     16.17   0.02    0.02    "AE1985 " " "       
  193     "058.6+06.1 " "A 57"            " "     289.2733333333333    25.62580555555555      O(H)                 "dP2013 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G058.6+06.1" 193     "058.6+06.1 " " "      5.0    ""       ""       "dP2013 " eff       " "         4.667     0.022       0.022       "SV2002 "   " "      1.666   0.022    0.022    "SV2002 " "v "   " "     17.73   ""      ""      "dP2013 " " "       
  201     "061.3+03.6 " "M 1-91"          " "     293.2395833333333    26.87805555555555      "Be? + ?"            "AT2003 "   " "             "       "   "RC2001 " TA2010                     " "                                                                                                                                  "PN G061.3+03.6" 201     "061.3+03.6 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  208     "064.7+05.0 " "BD+30 3639"      " "     293.6883333333333    30.516361111111106     "[WC 9]"             "AN2003 "   " "             "       "   "       " dM2002                     " "                                                                                                                                  "PN G064.7+05.0" 208     "064.7+05.0 " " "      4.2    ""       ""       "Gd2013 " " "       " "         4.55      ""          ""          "AN2003 "   " "      4.1     ""       ""       "GZ2007 " "v "   " "     12.5    ""      ""      "GT2000 " " "       
  211     "066.8+02.9 " IPHAS194751       " "     296.96624999999995   31.30508333333333      "B0 I"               "WG2018 "   " "             "       "   "       " WG2018                     " "                                                                                                                                  "PN G066.8+02.9" 211     "066.8+02.9 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  214     "068.7+01.9 " "K 4-41"          " "     299.14166666666665   32.37025               wels?                "GG2014 "   " "             "       "   "       " GG2014                     " "                                                                                                                                  "PN G068.7+01.9" 214     "068.7+01.9 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  200     "061.0+08.0 " "K 3-27"          " "     288.62499999999994   28.67930555555555      "G0: + ?"            "L1977  "   " "             "       "   bc-CSPN   -                          " "                                                                                                                                  "PN G061.0+08.0" 200     "061.0+08.0 " " "      4.0    ""       ""       "ZK1993 " z(HeII)   " "         5.057     ""          ""          "P2003  "   " "      2.499   0.303    0.303    "SV2002 " "v "   " "     17.2    ""      ""      "SECGPN " " "       
  205     "062.4+09.5 " "NGC 6765"        " "     287.7770833333333    30.545138888888886     "PG 1159"            "WH2006 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G062.4+09.5" 205     "062.4+09.5 " " "      ""     ""       ""       "       " z(HeII)   " "         4.968     ""          ""          "P2003  "   " "      2.15    ""       ""       "GS1997 " "v "   " "     17.8    0.2     0.2     "NS1995 " " "       
  212     "068.1+11.0 " "ETHOS 1"         " "     289.13124999999997   36.16330555555555      "wels + ?"           "MC2011 "   " "             "       "   "MC2011 " MC2011                     " "                                                                                                                                  "PN G068.1+11.0" 212     "068.1+11.0 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  7       "No 7       " "Kn 61"           *       290.41249999999997   38.31580555555555      "PG 1159 (lg E)"     "GD2014 "   " "             "       "   "       " GD2014                     " "                                                                                                                                  "Kronberger 61"  7       "No 7       " " "      8.3    ""       ""       "dO2015 " eff       " "         5.079     ""          ""          "dO2015 "   " "      ""      ""       ""       "       " "r "   " "     18.48   0.01    0.01    "GD2014 " " "       
  216     "069.4-02.6 " "NGC 6894"        " "     304.09999999999997   30.564777777777774     WD?                  "SZ1997 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G069.4-02.6" 216     "069.4-02.6 " " "      7.46   ""       ""       "M1997  " eff       " "         5.0       ""          ""          GM2019b     " "      2.1     ""       ""       GM2019b   "v "   " "     18.32   ""      ""      GM2019b   " "       
  223     "079.9+06.4 " "K 3-56"          " "     301.7308333333333    44.238499999999995     wels?                "GG2014 "   " "             "       "   "       " GG2014                     " "                                                                                                                                  "PN G079.9+06.4" 223     "079.9+06.4 " " "      ""     ""       ""       "       " z(HI)     " "         4.755     0.064       0.064       "MV2016 "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  226     "082.1+07.0 " "NGC 6884"        " "     302.59874999999994   46.46105555555555      "WN b?"              "SECGPN "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G082.1+07.0" 226     "082.1+07.0 " " "      5.7    ""       ""       "SP2015 " eff       " "         5.057     0.038       0.038       "SP2015 "   " "      3.903   ""       ""       "M1997  " "v "   " "     15.5    ""      ""      "TA1991 " " "       
  227     "082.5+11.3 " "NGC 6833"        " "     297.4441666666666    48.96116666666666      Of                   "AK1987 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G082.5+11.3" 227     "082.5+11.3 " " "      3.58   ""       ""       "M1997  " z(HeII)   " "         4.799     ""          ""          "Ph2005 "   " "      3.886   ""       ""       "M1997  " "v "   " "     14.6    ""      ""      "TA1991 " " "       
  206     "063.1+13.9 " "NGC 6720"        " "     283.39624999999995   33.02916666666666      hgO(H)               "UL2014 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G063.1+13.9" 206     "063.1+13.9 " " "      6.9    ""       ""       "Gd2013 " " "       " "         5.17      ""          ""          GM2019b     " "      2.62    ""       ""       GM2019b   "v "   " "     16.2    0.3     0.3     "NS1995 " " "       
  215     "068.7+14.8 " "SP 4-1"          " "     285.1108333333333    38.35202777777777      O?                   "WG2018 "   " "             "       "   "       " WG2018                     " "                                                                                                                                  "PN G068.7+14.8" 215     "068.7+14.8 " " "      ""     ""       ""       "       " z(HeII)   " "         4.772     0.003       0.003       "MV2016 "   " "      4.12    0.26     0.26     "MV2016 " "v "   " "     16.1    0.04    0.04    "MV2016 " " "       
  219     "075.9+11.6 " "AMU 1"           " "     292.78708333333327   43.41602777777777      "O(H)3 Vz + ?"       "WG2018 "   sdO             "AM2013 "   "AM2013 " WG2018                     " "                                                                                                                                  "PN G075.9+11.6" 219     "075.9+11.6 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  220     "076.3+14.1 " "Pa 5"            " "     289.8770833333333    44.7618611111111       "O(H) + ?"           "t.w.   "   "PG 1159"       "GD2014 "   "dO2015 " GD2014,dO2015              " "                                                                                                                                  "PN G076.3+14.1" 220     "076.3+14.1 " " "      6.7    ""       ""       "dO2015 " " "       " "         5.161     ""          ""          "dO2015 "   " "      ""      ""       ""       "       " "v "   " "     15.67   ""      ""      "dO2015 " " "       
  221     "077.6+14.7 " "A 61"            " "     289.79249999999996   46.24777777777777      DAO                  "dO2015 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G077.6+14.7" 221     "077.6+14.7 " " "      7.1    0.37     0.37     "N1999  " eff       " "         4.945     0.039       0.039       "N1999  "   " "      1.88    ""       ""       GM2019b   "v "   " "     17.39   ""      ""      "dO2015 " " "       
  222     "078.5+18.7 " "A 50"            " "     284.8333333333333    48.46533333333333      "O(H) III-V"         "WG2018 "   " "             "       "   "       " WG2018                     " "                                                                                                                                  "PN G078.5+18.7" 222     "078.5+18.7 " " "      ""     ""       ""       "       " eff       " "         5.178     0.301       0.301       "SV2002 "   " "      2.027   0.301    0.301    "SV2002 " "b "   " "     20.0    ""      ""      "SECGPN " " "       
  228     "083.5+12.7 " "NGC 6826"        " "     296.20083333333326   50.52508333333333      "O(H)3f + ?"         "SECGPN "   " "             "       "   "LR1983 " KM1997                     " "                                                                                                                                  "PN G083.5+12.7" 228     "083.5+12.7 " " "      5.0    ""       ""       "SP2015 " eff       " "         4.7       0.043       0.043       "SP2015 "   " "      4.093   ""       ""       "SP2015 " "v "   " "     10.68   ""      ""      GM2019b   " "       
  238     "094.0+27.4 " "K 1-16"          " "     275.4675             64.36508333333333      "PG 1159 (lg E)"     "WH2006 "   [WO]            "SK1994 "   "       " YL2013                     " "                                                                                                                                  "PN G094.0+27.4" 238     "094.0+27.4 " " "      6.4    ""       ""       "Gd2013 " eff       " "         5.146     ""          ""          "Gd2013 "   " "      3.53    ""       ""       GM2019b   "v "   " "     15.08   ""      ""      "GT2000 " " "       
  233     "089.0+00.3 " "NGC 7026"        " "     316.57583333333326   47.851499999999994     "[WO 3]"             "AN2003 "   " "             "       "   "       " SK1995                     " "                                                                                                                                  "PN G089.0+00.3" 233     "089.0+00.3 " " "      4.4    ""       ""       "ZK1993 " eff       " "         4.965     0.029       0.029       "SV2002 "   " "      2.913   0.108    0.108    "SV2002 " "v "   " "     14.2    ""      ""      "GT2000 " " "       
  237     "093.9-00.1 " "IRAS 21282+5050" " "     322.4933333333333    51.0666111111111       "[WC 11] + ?"        "LH1998 "   "O7(f)-[WC 11]" "CJ1987 "   "HZ2019 " LH1998                     " "                                                                                                                                  "PN G093.9-00.1" 237     "093.9-00.1 " " "      3.2    ""       ""       "FB2014 " " "       " "         4.447     ""          ""          "LH1998 "   <        3.75    ""       ""       "LH1998 " "v "   " "     14.4    ""      ""      "HZ2019 " " "       
  239     "095.2+00.7 " "K 3-62"          " "     322.95916666666665   52.56433333333332      wels?                "GG2014 "   " "             "       "   "       " GG2014                     " "                                                                                                                                  "PN G095.2+00.7" 239     "095.2+00.7 " " "      ""     ""       ""       "       " eff       " "         4.653     ""          ""          "OK2014 "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  240     "096.3+02.3 " "K 3-61"          " "     322.50291666666664   54.45763888888888      "[WC 4-6]"           "TA1993 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G096.3+02.3" 240     "096.3+02.3 " " "      ""     ""       ""       "       " eff       " "         4.299     0.188       0.188       "SV2002 "   " "      3.537   3.126    3.126    "SV2002 " "v "   >       14.8    ""      ""      "GT2000 " " "       
  236     "093.4+05.4 " "NGC 7008"        " "     315.13541666666663   54.543388888888884     "O7 + ?"             "SECGPN "   " "             "       "   "CB1999 " -                          " "                                                                                                                                  "PN G093.4+05.4" 236     "093.4+05.4 " " "      ""     ""       ""       "       " eff       " "         4.99      0.254       0.254       "HS2018 "   " "      3.063   0.301    0.301    "SV2002 " "v "   " "     13.88   ""      ""      "TA1991 " " "       
  246     "103.7+00.4 " "M 2-52"          " "     335.12791666666664   57.605999999999995     Non-[WC]             "PM2002 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G103.7+00.4" 246     "103.7+00.4 " " "      7.1    ""       ""       "B2008  " " "       " "         5.279     ""          ""          "B2008  "   " "      2.97    ""       ""       "SV2002 " "  "   " "     ""      ""      ""      "       " " "       
  255     "107.8+02.3 " "NGC 7354"        " "     340.0824999999999    61.28574999999999      cont.                "F1994  "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G107.8+02.3" 255     "107.8+02.3 " " "      4.6    ""       ""       "ZK1993 " eff       " "         4.989     0.301       0.301       "SV2002 "   " "      4.14    0.301    0.301    GM2019b   "v "   " "     16.2    ""      ""      GM2019b   " "       
  253     "107.7+07.8 " "IsWe 2"          " "     333.34374999999994   65.89874999999999      DA                   "NS1995 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G107.7+07.8" 253     "107.7+07.8 " " "      7.5    ""       ""       "P1996  " " "       " "         5.1       ""          ""          GM2019b     " "      2.15    ""       ""       GM2019b   "v "   " "     17.71   ""      ""      GM2019b   " "       
  256     "111.0+11.6 " "DeHt 5"          " "     334.8904166666666    70.93419444444443      DA                   "NS1995 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G111.0+11.6" 256     "111.0+11.6 " " "      6.65   0.19     0.19     "N1999  " eff       " "         4.884     0.033       0.033       "N1999  "   " "      1.176   ""       ""       "BC2012 " "v "   " "     15.47   ""      ""      "HD2007 " " "       
  264     "120.3+18.3 " "Sh 2-174"        *       356.2595833333333    80.94988888888888      "DAO + ?"            "NS1993 "   " "             "       "   "GB2010 " GB2010                     " "                                                                                                                                  "PN G120.3+18.3" 264     "120.3+18.3 " " "      6.7    ""       ""       "Gd2013 " eff       " "         4.839     ""          ""          "Gd2013 "   " "      ""      ""       ""       "       " "v "   " "     14.7    0.3     0.3     "NS1995 " " "       
  260     "118.8-74.7 " "NGC 246"         " "     11.763749999999998   -11.871916666666666    "PG 1159 (lg E) + ?" "WH2006 "   "PG 1159"       "AM2014 "   "BC1999 " WR1994,W1992,SH2014        "AM2014 report PG 1159 + K2-5 + M5-6"                                                                                                "PN G118.8-74.7" 260     "118.8-74.7 " " "      5.7    ""       ""       "Gd2013 " eff       " "         5.176     ""          ""          "Gd2013 "   " "      2.954   0.109    0.109    SB2019b   "v "   " "     11.78   ""      ""      "BC2012 " " "       
  2       "No 2       " "PG 0108+101"     *       17.777499999999996   10.360888888888887     DO                   "D1999  "   " "             "       "   "       " WG1985                     " "                                                                                                                                  "PG 0108+101"    2       "No 2       " " "      7.5    ""       ""       "N1999  " eff       " "         4.978     ""          ""          "N1999  "   " "      1.0     ""       ""       "R1987  " "v "   " "     15.6    ""      ""      "R1987  " " "       
  3       "No 3       " "PG 0109+111"     *       18.095416666666665   11.393499999999998     DO                   "D1999  "   " "             "       "   "       " WG1985,DW1996              " "                                                                                                                                  "PG 0109+111"    3       "No 3       " " "      8.0    ""       ""       "N1999  " eff       " "         5.041     ""          ""          "N1999  "   " "      ""      ""       ""       "       " "v "   " "     15.4    0.05    0.05    "ZF2012 " " "       
  267     "125.9-47.0 " "PHL 932"         *       14.986249999999998   15.737166666666665     hgO(H)               "SECGPN "   sdB             "FM2010 "   "       " "MG1988,  N1999"           " "                                                                                                                                  "PN G125.9-47.0" 267     "125.9-47.0 " " "      5.93   0.12     0.12     "N1999  " eff       " "         4.544     0.011       ""          "N1999  "   " "      ""      ""       ""       "       " "v "   " "     12.11   ""      ""      "HD2007 " " "       
  247     "104.2-29.6 " "Jn 1"            " "     353.9720833333333    30.46844444444444      "PG 1159 (E)"        "WH2006 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G104.2-29.6" 247     "104.2-29.6 " " "      6.5    ""       ""       "HW2006 " eff       " "         5.176     ""          ""          "HW2006 "   " "      1.844   ""       ""       "SV2002 " "v "   " "     16.1    0.3     0.3     "NS1995 " " "       
  362     "240.8-19.6 " "KLSS 1-9"        *       96.15166666666666    -33.08027777777777     OB                   WG2011a     " "             "       "   "       " W2009                      " "                                                                                                                                  "PN G240.8-19.6" 362     "240.8-19.6 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  343     "228.2-22.1 " "DeHt 1"          " "     88.77791666666666    -22.900611111111107    "K1 III + ?"         "TJ2013 "   " "             "       "   "TJ2013 " TJ2013                     " "                                                                                                                                  "PN G228.2-22.1" 343     "228.2-22.1 " " "      ""     ""       ""       "       " " "       " "         5.09      ""          ""          "TJ2013 "   " "      ""      ""       ""       "       " "v "   " "     12.44   ""      ""      "TJ2013 " " "       
  357     "237.4-09.6 " "BMP J0700-2607"  " "     105.21583333333332   -26.121666666666663    Blue                 MASH-II     " "             "       "   "       " -                          " "                                                                                                                                  "PN G237.4-09.6" 357     "237.4-09.6 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  352     "234.9-09.7 " "MPA J0656-2356"  " "     103.99999999999999   -23.94694444444444     Blue                 MASH-II     " "             "       "   "       " -                          " "                                                                                                                                  "PN G234.9-09.7" 352     "234.9-09.7 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  348     "233.5-16.3 " "A 15"            " "     96.75791666666666    -25.38044444444444     O(H)                 "SECGPN "   sdOp            "HA1987 "   "       " MK1985                     " "                                                                                                                                  "PN G233.5-16.3" 348     "233.5-16.3 " " "      5.7    ""       ""       "N1999  " " "       " "         5.041     ""          ""          "N1999  "   " "      3.398   ""       ""       "ZK1993 " "b "   " "     16.1    0.06    0.06    "GP1988 " " "       
  349     "234.3-07.2 " "MPA J0704-2221"  " "     106.09583333333332   -22.36444444444444     Blue                 MASH-II     " "             "       "   "       " -                          " "                                                                                                                                  "PN G234.3-07.2" 349     "234.3-07.2 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "  "   " "     ""      ""      ""      "       " " "       
  353     "235.3-03.9 " "M 1-12"          " "     109.83958333333332   -21.73205555555555     O                    "t.w.   "   "[WC 10-11]"    WG2011b     "       " "WG2011b,         K2012"   " "                                                                                                                                  "PN G235.3-03.9" 353     "235.3-03.9 " " "      3.4    ""       ""       "OK2013 " " "       " "         4.519     ""          ""          "OK2013 "   " "      3.94    ""       ""       "OK2013 " "v "   " "     14.08   ""      ""      "TA1991 " " "       
  347     "232.8-04.7 " "M 1-11"          " "     107.81958333333331   -19.850805555555553    "[WC 10-11]"         WG2011b     " "             "       "   "       " WG2011b                    " "                                                                                                                                  "PN G232.8-04.7" 347     "232.8-04.7 " " "      3.5    ""       ""       "OK2013 " " "       " "         4.504     ""          ""          "OK2013 "   " "      3.654   ""       ""       "OK2013 " "v "   " "     13.83   ""      ""      "TA1991 " " "       
  324     "215.2-24.2 " "IC 418"          " "     81.86749999999999    -12.697305555555554    O(H)f                "SECGPN "   O7f             "ZA1986 "   "       " SH2014                     " "                                                                                                                                  "PN G215.2-24.2" 324     "215.2-24.2 " " "      3.7    ""       ""       "Gd2013 " eff       " "         4.556     ""          ""          "GZ2007 "   " "      3.86    ""       ""       GM2019b   "v "   " "     10.09   ""      ""      "KJ1991 " " "       
  325     "215.5-30.8 " "A 7"             " "     75.78124999999999    -15.606305555555553    "DAO + ?"            "NS1995 "   " "             "       "   "CB1999 " GB2010                     " "                                                                                                                                  "PN G215.5-30.8" 325     "215.5-30.8 " " "      7.0    ""       ""       "Gd2013 " eff       " "         4.996     ""          ""          "Gd2013 "   " "      1.72    ""       ""       GM2019b   "v "   " "     15.48   ""      ""      "HD2007 " " "       
  335     "221.3-12.3 " "IC 2165"         " "     95.42833333333331    -12.98722222222222     wels                 "AN2003 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G221.3-12.3" 335     "221.3-12.3 " " "      6.8    ""       ""       "t.w.   " eff       " "         5.021     0.012       0.012       "HB2015 "   " "      3.87    0.1      0.1      "HB2015 " "v "   " "     17.9    ""      ""      "NA2000 " " "       
  329     "218.9-10.7 " "HDW 5"           *       95.90499999999999    -10.223249999999998    hgO(H)               "SECGPN "   "abs. Line"     "LS2007 "   "       " LS2007                     "HII region?   LS2007 report unknown absorption at 5758\\AA"                                                                         "PN G218.9-10.7" 329     "218.9-10.7 " " "      ""     ""       ""       "       " eff       " "         4.657     0.029       0.029       "SV2002 "   " "      1.258   0.031    0.031    "SV2002 " "v "   " "     16.29   ""      ""      "TA1991 " " "       
