# ra,dec,radius
271.30441,-19.84302,2.0
268.02,-17.6016,2.0
269.277,-18.1115,2.0
265.50836,-15.93541,2.0
278.47763,-22.6447,2.0
278.71524,-22.72138,2.0
274.06882,-20.45074,2.0
266.72687,-16.29022,2.0
267.08249,-16.47895,2.0
277.29648,-21.78151,2.0
262.14246,-13.43912,2.0
281.6463,-23.44675,2.0
256.73,-9.78366,2.0
279.67938,-22.40388,2.0
273.43817,-19.07614,2.0
272.9537,-18.77269,2.0
269.08325,-16.48443,2.0
268.58792,-15.93105,2.0
282.60846,-22.57293,2.0
275.78326,-19.28479,2.0
277.49768,-19.67713,2.0
269.74496,-15.53744,2.0
245.26842,-0.26959,2.0
277.37497,-19.09572,2.0
281.39704,-20.58322,2.0
276.51533,-18.20958,2.0
279.13475,-19.32422,2.0
281.00735,-19.91459,2.0
279.2962,-19.03932,2.0
279.9169,-19.23668,2.0
278.33704,-18.27691,2.0
278.33704,-18.27691,2.0
277.29694,-17.45358,2.0
268.60971,-12.80944,2.0
278.9514,-17.6023,2.0
277.545,-16.7557,2.0
271.8779,-13.47989,2.0
262.87112,-8.31949,2.0
279.03482,-16.99917,2.0
279.44272,-17.09626,2.0
276.98474,-15.54845,2.0
277.33261,-15.12777,2.0
265.56012,-8.72184,2.0
296.64254,-23.13697,2.0
276.80579,-14.14294,2.0
285.25579,-18.20431,2.0
278.49393,-14.87362,2.0
280.312,-15.5615,2.0
258.21625,-3.2667,2.0
278.26559,-13.73888,2.0
273.03995,-10.71619,2.0
272.61005,-10.48466,2.0
280.60321,-14.25328,2.0
278.55775,-13.20685,2.0
281.47969,-14.46053,2.0
295.12304,-20.452,2.0
289.26713,-18.02661,2.0
273.82071,-10.1693,2.0
280.90878,-13.74684,2.0
299.38125,-21.61286,2.0
271.74911,-8.92578,2.0
276.03287,-11.11169,2.0
276.492,-10.75791,2.0
282.68463,-13.51727,2.0
278.37083,-11.124,2.0
282.87891,-13.17689,2.0
281.0257,-12.2154,2.0
278.31155,-10.2554,2.0
278.17203,-10.09723,2.0
275.33798,-8.52842,2.0
281.76648,-11.68659,2.0
280.73743,-11.11475,2.0
280.08438,-10.6631,2.0
277.14685,-8.72301,2.0
273.80579,-6.95339,2.0
274.45575,-6.80599,2.0
285.3407,-11.97222,2.0
280.28046,-8.93305,2.0
277.62662,-7.46064,2.0
280.83408,-9.08018,2.0
275.34937,-6.03216,2.0
273.57651,-4.98925,2.0
283.574,-10.0869,2.0
281.95334,-9.15193,2.0
281.64426,-8.46718,2.0
289.824,-12.24333,2.0
242.93561,12.07141,2.0
283.58334,-8.79255,2.0
283.65423,-8.82732,2.0
295.99043,-14.15324,2.0
281.6025,-7.24286,2.0
280.53351,-6.68203,2.0
289.58133,-11.10429,2.0
281.36475,-6.94929,2.0
281.88437,-6.90098,2.0
282.436,-7.0264,2.0
281.40231,-6.30954,2.0
282.19357,-5.9353,2.0
283.36792,-6.47875,2.0
283.5079,-6.43884,2.0
289.11758,-9.04349,2.0
265.42101,3.11525,2.0
276.66687,-2.71601,2.0
279.84097,-4.33081,2.0
271.5032,0.37738,2.0
284.3223,-5.99772,2.0
276.25241,-1.51462,2.0
279.40378,-3.09888,2.0
278.55671,-2.46028,2.0
284.45709,-5.46115,2.0
280.69547,-3.22147,2.0
281.22244,-3.34247,2.0
286.48151,-5.99248,2.0
288.48206,-6.3145,2.0
278.84402,-0.23047,2.0
278.32288,0.19644,2.0
291.7579,-6.58462,2.0
276.78874,1.24073,2.0
282.6027,-1.67166,2.0
280.76438,-0.27708,2.0
282.66794,-1.0531,2.0
284.06534,-1.56675,2.0
276.18552,2.49114,2.0
285.5423,-1.81259,2.0
277.75095,2.42426,2.0
284.60938,-1.06269,2.0
285.4024,-1.31885,2.0
283.52847,-0.33413,2.0
275.84052,3.60772,2.0
287.60736,-2.33985,2.0
288.65155,-2.70696,2.0
284.71559,-0.5493,2.0
285.06723,-0.24239,2.0
285.65454,-0.44916,2.0
281.35242,2.02329,2.0
292.78,-3.70875,2.0
277.94098,4.08587,2.0
294.07306,-3.89035,2.0
289.60396,-1.59644,2.0
273.02636,6.85359,2.0
288.66324,0.22675,2.0
285.49983,2.15447,2.0
268.38446,10.62326,2.0
337.41058,-20.83711,2.0
287.00894,2.35674,2.0
285.74729,3.03925,2.0
289.58533,1.78323,2.0
316.04532,-11.3634,2.0
290.73737,1.5129,2.0
288.27554,2.87997,2.0
307.88833,-7.08836,2.0
274.39213,10.15097,2.0
288.34427,3.41675,2.0
283.72559,5.80314,2.0
283.73877,6.04196,2.0
288.47458,3.62824,2.0
287.7226,4.45792,2.0
288.39398,4.63457,2.0
284.07567,7.12394,2.0
286.69128,6.39791,2.0
289.11539,5.22207,2.0
287.30683,7.09556,2.0
289.61703,6.53869,2.0
282.13675,10.59743,2.0
300.16338,1.72803,2.0
293.63972,5.68401,2.0
290.25299,7.61455,2.0
251.123,23.79988,2.0
284.14017,10.86946,2.0
285.574,10.2925,2.0
276.95114,14.48502,2.0
299.613,3.04977,2.0
283.25679,12.26664,2.0
282.69516,12.62506,2.0
286.63394,10.72331,2.0
293.16483,7.46432,2.0
278.51104,14.82206,2.0
291.09259,9.89896,2.0
265.65216,21.44982,2.0
292.89642,9.22533,2.0
290.61111,10.68927,2.0
291.93674,10.40578,2.0
292.81867,10.05597,2.0
290.70976,11.46539,2.0
285.79205,14.11636,2.0
286.5955,13.74614,2.0
246.89056,27.90929,2.0
285.66803,14.48066,2.0
293.32454,10.61658,2.0
292.05997,12.32671,2.0
288.8773,14.06384,2.0
286.2142,15.79352,2.0
288.02417,15.15124,2.0
288.4101,14.98867,2.0
194.86575,27.63628,2.0
288.27275,15.7776,2.0
286.13475,17.95214,2.0
292.56946,14.7894,2.0
295.5145,13.84372,2.0
288.51721,17.52569,2.0
282.44818,20.84429,2.0
291.41876,16.55138,2.0
285.90567,19.35628,2.0
295.28885,14.94983,2.0
295.57813,15.15229,2.0
295.57813,15.15229,2.0
294.79089,15.9467,2.0
294.81616,16.34681,2.0
289.76104,19.03917,2.0
290.72888,18.70224,2.0
293.82648,17.21686,2.0
268.59579,27.99944,2.0
289.66679,19.57583,2.0
295.54283,17.08733,2.0
303.78683,12.70434,2.0
295.39156,17.75485,2.0
291.66727,20.48751,2.0
295.10768,18.82007,2.0
290.85342,21.13347,2.0
290.94529,21.11061,2.0
287.16492,22.98288,2.0
277.82621,26.93692,2.0
294.11218,19.70666,2.0
291.65732,21.15751,2.0
291.93347,21.50106,2.0
294.89916,20.31719,2.0
300.65143,17.61416,2.0
302.61118,16.92258,2.0
296.34235,21.33445,2.0
305.03646,16.73156,2.0
289.2739,25.62595,2.0
286.53,27.21625,2.0
294.09094,23.66331,2.0
297.11,22.14369,2.0
291.01138,25.31321,2.0
296.3925,22.97572,2.0
293.44479,24.54086,2.0
312.50858,13.55823,2.0
293.9768,24.91389,2.0
300.04417,21.71556,2.0
303.17838,19.98963,2.0
302.98358,20.33456,2.0
294.71722,25.0924,2.0
296.56512,24.18435,2.0
294.53482,25.26131,2.0
299.90158,22.72111,2.0
288.62488,28.6793,2.0
305.59558,20.10467,2.0
250.07565,38.70553,2.0
287.77729,30.54547,2.0
297.61893,25.90839,2.0
283.39615,33.02917,2.0
241.11061,40.68307,2.0
293.68848,30.51637,2.0
300.84354,27.01524,2.0
282.5087,35.24336,2.0
302.2695,26.44889,2.0
304.33926,25.36299,2.0
295.94998,30.23539,2.0
298.75967,29.28831,2.0
324.22073,12.7887,2.0
304.90887,27.00312,2.0
297.75281,31.04132,2.0
300.7977,30.54279,2.0
303.49124,29.56554,2.0
299.826,31.9107,2.0
299.14178,32.37027,2.0
297.96967,32.98831,2.0
285.11055,38.35222,2.0
301.18369,31.45678,2.0
297.50083,33.76422,2.0
300.17514,32.46137,2.0
298.5026,33.37014,2.0
304.09985,30.56477,2.0
305.49301,29.98949,2.0
301.73417,32.27586,2.0
298.5716,35.11762,2.0
305.2657,32.49004,2.0
303.19867,34.34237,2.0
319.2178,24.14772,2.0
306.27026,33.58075,2.0
302.7186,37.41186,2.0
301.06708,39.59247,2.0
258.45981,49.26979,2.0
289.87701,44.762,2.0
304.99275,38.40078,2.0
303.10003,40.7582,2.0
289.7926,46.24779,2.0
310.568,37.6748,2.0
284.8327,48.46542,2.0
302.17924,42.50261,2.0
307.32889,40.25572,2.0
302.25803,43.72876,2.0
301.73077,44.23851,2.0
319.28455,34.20756,2.0
323.87189,31.69615,2.0
318.40701,37.2604,2.0
302.59863,46.46098,2.0
297.44406,48.96114,2.0
296.20068,50.52509,2.0
305.56818,47.06554,2.0
320.56409,38.12088,2.0
311.29175,44.65405,2.0
316.75733,42.23603,2.0
308.09787,47.34767,2.0
230.444,52.36781,2.0
307.96817,48.88047,2.0
312.55701,46.9209,2.0
323.28479,39.63599,2.0
311.34464,50.37775,2.0
318.56345,46.2882,2.0
316.57738,47.85186,2.0
319.78067,46.31312,2.0
318.53146,47.77256,2.0
323.129,44.59655,2.0
324.70419,46.00772,2.0
317.71778,50.78744,2.0
313.30656,53.76171,2.0
322.71468,50.00235,2.0
324.25542,48.93444,2.0
315.13688,54.54317,2.0
275.46713,64.36483,2.0
323.93283,50.90471,2.0
325.82343,50.42072,2.0
322.95917,52.56434,2.0
314.11264,57.43418,2.0
322.50296,54.45763,2.0
269.63919,66.633,2.0
329.42422,51.69417,2.0
324.7999,55.76776,2.0
321.86032,57.65179,2.0
337.63929,47.52314,2.0
337.93204,47.8011,2.0
335.98218,50.96679,2.0
321.59808,62.89217,2.0
338.68997,52.43506,2.0
336.5719,54.82724,2.0
334.0162,57.47604,2.0
335.12811,57.60601,2.0
335.06934,58.23794,2.0
326.53577,63.79152,2.0
337.52841,56.19828,2.0
353.97221,30.46844,2.0
338.07382,56.17392,2.0
351.47485,42.53473,2.0
301.0595,74.42667,2.0
343.77911,56.70865,2.0
350.74146,46.89951,2.0
333.34383,65.89872,2.0
344.08252,57.15574,2.0
340.08279,61.28575,2.0
9.31678,-13.71624,2.0
344.715,61.9622,2.0
354.79517,48.20808,2.0
342.25906,67.02747,2.0
348.06454,64.65492,2.0
356.93457,51.39897,2.0
356.69461,54.7438,2.0
356.44922,57.06645,2.0
352.964,70.3706,2.0
340.60361,80.44202,2.0
4.6757,53.87223,2.0
0.37906,70.70831,2.0
11.76395,-11.87196,2.0
4.99478,62.9838,2.0
7.06506,55.9652,2.0
3.25426,72.52197,2.0
7.9523,57.38288,2.0
9.72521,66.39703,2.0
11.39449,57.95969,2.0
188.27847,82.56397,2.0
15.60203,65.77578,2.0
21.24428,65.64337,2.0
22.58333,58.44139,2.0
25.65783,60.16311,2.0
29.6477,66.5668,2.0
29.10392,65.4751,2.0
25.02433,56.58183,2.0
29.399,63.3217,2.0
24.33096,50.46986,2.0
30.92204,64.96087,2.0
25.58312,51.57532,2.0
28.26217,56.4055,2.0
33.02748,64.15026,2.0
36.62506,65.79813,2.0
40.05988,61.15464,2.0
44.67447,64.50175,2.0
45.94596,64.90983,2.0
