# ra,dec,radius
196.05533,-60.41586,2.0
198.33583,-66.66208,2.0
197.58179,-59.75293,2.0
202.46087,-61.84385,2.0
204.46304,-65.58842,2.0
203.78782,-63.81581,2.0
206.67243,-64.31273,2.0
206.65906,-61.27418,2.0
209.95307,-65.02485,2.0
209.18669,-61.66224,2.0
211.10566,-64.06581,2.0
213.32708,-64.90317,2.0
212.10458,-62.83414,2.0
212.20582,-58.07341,2.0
213.67048,-58.95113,2.0
220.69396,-66.25062,2.0
219.44947,-63.93387,2.0
217.47004,-60.73253,2.0
220.7929,-63.91273,2.0
217.60419,-57.36269,2.0
219.85414,-58.26706,2.0
221.92411,-58.64473,2.0
219.11906,-54.49867,2.0
228.40211,-60.86792,2.0
224.25951,-54.23284,2.0
231.48084,-60.04115,2.0
226.77514,-55.28044,2.0
234.96788,-61.78959,2.0
231.49747,-58.38386,2.0
232.03038,-58.52838,2.0
233.68836,-58.49722,2.0
231.27555,-55.47286,2.0
234.89496,-57.45064,2.0
228.49239,-50.16774,2.0
236.2362,-56.11862,2.0
242.03946,-59.2284,2.0
234.95582,-53.42363,2.0
239.79624,-55.87166,2.0
240.44836,-56.14044,2.0
240.52952,-56.06182,2.0
240.28017,-55.88919,2.0
240.73518,-56.05017,2.0
240.54658,-55.72517,2.0
238.53706,-50.37754,2.0
230.35823,-42.46886,2.0
239.13822,-49.92081,2.0
242.58797,-51.51502,2.0
236.93696,-45.54744,2.0
245.64173,-51.74886,2.0
245.66916,-50.64498,2.0
252.54871,-53.83969,2.0
242.05253,-47.49652,2.0
260.321,-56.9081,2.0
256.41194,-54.25533,2.0
249.5075,-49.45533,2.0
249.30912,-49.18776,2.0
242.80367,-43.93941,2.0
240.57554,-41.44708,2.0
255.15752,-50.79,2.0
251.82045,-48.7798,2.0
246.46202,-45.37751,2.0
248.96629,-46.90278,2.0
248.03091,-45.7994,2.0
248.23752,-45.82643,2.0
254.4007,-46.54869,2.0
261.14459,-49.51469,2.0
254.30658,-44.78972,2.0
267.45725,-48.80889,2.0
248.72499,-38.80858,2.0
253.71254,-41.73053,2.0
251.08529,-40.037,2.0
258.81634,-43.06494,2.0
254.16711,-39.21023,2.0
265.94377,-45.08146,2.0
248.18625,-34.26194,2.0
258.295,-40.26558,2.0
252.86163,-36.36006,2.0
260.05999,-39.46329,2.0
253.84191,-35.58997,2.0
257.0975,-37.0933,2.0
255.69209,-35.15057,2.0
258.14163,-35.72224,2.0
258.70741,-35.59449,2.0
264.50214,-38.65387,2.0
252.94458,-31.80582,2.0
257.442,-34.6013,2.0
254.85747,-32.97607,2.0
256.19,-33.63,2.0
267.18785,-38.73725,2.0
264.07208,-36.99635,2.0
258.77542,-33.95725,2.0
250.04387,-27.95924,2.0
264.40671,-36.8383,2.0
264.40254,-36.45169,2.0
262.40628,-35.22939,2.0
266.60146,-37.21906,2.0
263.81979,-35.0472,2.0
263.62629,-34.81749,2.0
260.55333,-32.85417,2.0
264.02373,-34.73527,2.0
257.90428,-31.20588,2.0
268.85344,-37.02966,2.0
270.86337,-37.64778,2.0
262.31058,-33.36061,2.0
265.03662,-34.63752,2.0
264.47456,-34.24086,2.0
267.20265,-35.50831,2.0
263.76124,-33.55775,2.0
261.60753,-32.36391,2.0
260.41208,-31.17619,2.0
259.83363,-30.72786,2.0
269.49783,-35.79942,2.0
270.20028,-36.00892,2.0
264.78235,-33.3453,2.0
259.43338,-29.90829,2.0
263.18533,-32.01875,2.0
257.99771,-28.8595,2.0
266.21578,-33.32501,2.0
273.55668,-36.59302,2.0
259.55082,-29.24946,2.0
260.05832,-29.52469,2.0
259.4529,-28.76586,2.0
